trade_date,avix_clean,near_expiry,next_expiry,near_dte,next_dte,near_var,next_var,near_n_options,next_n_options,near_forward,next_forward,near_k0,next_k0,quality,avix_raw,raw_clean_diff,cleaned_option_count,cleaned_option_ratio,clean_method
2026-04-20,15.950622334366315,2026-07-17,2026-07-17,88,88,0.02544223528535855,0.02544223528535855,11,11,4662.3474622536605,4662.3474622536605,4600.0,4600.0,WARN_NOT_BRACKET_30D,16.012405044676008,0.061782710309692845,17,1.0,iv_filter_rolling_median
2026-04-21,15.283852248641855,2026-07-17,2026-07-17,87,87,0.023359613955831467,0.023359613955831467,10,10,4670.901551850895,4670.901551850895,4650.0,4650.0,WARN_NOT_BRACKET_30D,15.377065636313711,0.09321338767185594,18,1.0,iv_filter_rolling_median
2026-04-22,15.824340452886757,2026-07-17,2026-07-17,86,86,0.025040975076886827,0.025040975076886827,12,12,4687.157117764156,4687.157117764156,4650.0,4650.0,WARN_NOT_BRACKET_30D,15.885118082230845,0.060777629344087813,21,1.0,iv_filter_rolling_median
2026-04-23,16.48077820100279,2026-07-17,2026-07-17,85,85,0.02716160501106487,0.02716160501106487,11,11,4689.365087508208,4689.365087508208,4650.0,4650.0,WARN_NOT_BRACKET_30D,16.338132415243862,0.14264578575892628,19,1.0,iv_filter_rolling_median
2026-04-24,16.142741889492637,2026-07-17,2026-07-17,84,84,0.026058811571078033,0.026058811571078033,12,12,4669.300897070896,4669.300897070896,4650.0,4650.0,WARN_NOT_BRACKET_30D,16.17548404682891,0.032742157336272726,23,1.0,iv_filter_rolling_median
2026-04-27,15.935780409431285,2026-07-17,2026-07-17,81,81,0.0253949097257614,0.0253949097257614,11,11,4689.968849802958,4689.968849802958,4650.0,4650.0,WARN_NOT_BRACKET_30D,15.902007518127393,0.03377289130389194,19,1.0,iv_filter_rolling_median
2026-04-28,15.785010415326713,2026-07-17,2026-07-17,80,80,0.024916655381197285,0.024916655381197285,11,11,4670.863876951436,4670.863876951436,4650.0,4650.0,WARN_NOT_BRACKET_30D,15.914475738022437,0.12946532269572408,18,1.0,iv_filter_rolling_median
2026-04-29,15.559932295600126,2026-07-17,2026-07-17,79,79,0.02421114930436598,0.02421114930436598,12,12,4718.255034575799,4718.255034575799,4700.0,4700.0,WARN_NOT_BRACKET_30D,15.722314158791301,0.1623818631911753,24,1.0,iv_filter_rolling_median
2026-04-30,15.694413242001806,2026-07-17,2026-07-17,78,78,0.024631460701072163,0.024631460701072163,12,12,4730.676913152226,4730.676913152226,4700.0,4700.0,WARN_NOT_BRACKET_30D,15.955265415393615,0.2608521733918092,19,1.0,iv_filter_rolling_median
2026-05-06,15.37526309412546,2026-07-17,2026-07-17,72,72,0.02363987152135764,0.02363987152135764,12,12,4821.805934608178,4821.805934608178,4800.0,4800.0,WARN_NOT_BRACKET_30D,15.523318333694045,0.1480552395685848,24,1.0,iv_filter_rolling_median
2026-05-07,15.590058144299714,2026-07-17,2026-07-17,71,71,0.02430499129426459,0.02430499129426459,12,12,4827.658848920206,4827.658848920206,4800.0,4800.0,WARN_NOT_BRACKET_30D,15.771363523312967,0.18130537901325283,22,1.0,iv_filter_rolling_median
2026-05-08,16.545349313062648,2026-07-17,2026-07-17,70,70,0.027374858389126268,0.027374858389126268,12,12,4799.197852245407,4799.197852245407,4750.0,4750.0,WARN_NOT_BRACKET_30D,16.53753849636839,0.007810816694256317,20,1.0,iv_filter_rolling_median
2026-05-11,15.581377632715688,2026-07-17,2026-07-17,67,67,0.02427793289332927,0.02427793289332927,12,12,4886.766155645033,4886.766155645033,4850.0,4850.0,WARN_NOT_BRACKET_30D,15.707562025036411,0.12618439232072376,21,1.0,iv_filter_rolling_median
2026-05-12,16.452266022138367,2026-07-17,2026-07-17,66,66,0.027067705726320865,0.027067705726320865,12,12,4880.150028026164,4880.150028026164,4850.0,4850.0,WARN_NOT_BRACKET_30D,16.36575845707278,0.08650756506558821,21,1.0,iv_filter_rolling_median
2026-05-13,15.192490781643798,2026-07-17,2026-07-17,65,65,0.023081177615033175,0.023081177615033175,12,12,4937.057256659404,4937.057256659404,4900.0,4900.0,WARN_NOT_BRACKET_30D,15.359245042495687,0.1667542608518886,19,1.0,iv_filter_rolling_median
2026-05-14,16.61943682075389,2026-07-17,2026-07-17,64,64,0.027620568023903017,0.027620568023903017,12,12,4869.647828563022,4869.647828563022,4850.0,4850.0,WARN_NOT_BRACKET_30D,16.274501424495963,0.34493539625792735,24,1.0,iv_filter_rolling_median
2026-05-15,16.889469848093388,2026-07-17,2026-07-17,63,63,0.028525419174965573,0.028525419174965573,12,12,4803.007195794216,4803.007195794216,4800.0,4800.0,WARN_NOT_BRACKET_30D,17.27524578950077,0.38577594140738114,24,1.0,iv_filter_rolling_median
2026-05-18,17.20643973125375,2026-07-17,2026-07-17,60,60,0.029606156822526757,0.029606156822526757,12,12,4766.236951448159,4766.236951448159,4750.0,4750.0,WARN_NOT_BRACKET_30D,17.42354370648561,0.2171039752318613,23,1.0,iv_filter_rolling_median
2026-05-19,16.70842604332102,2026-07-17,2026-07-17,59,59,0.02791715008451281,0.02791715008451281,12,12,4780.756967519356,4780.756967519356,4750.0,4750.0,WARN_NOT_BRACKET_30D,16.979508384705422,0.27108234138440324,24,1.0,iv_filter_rolling_median
2026-05-20,16.627317301169626,2026-07-17,2026-07-17,58,58,0.027646768063377472,0.027646768063377472,12,12,4780.9581232062665,4780.9581232062665,4750.0,4750.0,WARN_NOT_BRACKET_30D,16.847230288020675,0.21991298685104965,23,1.0,iv_filter_rolling_median
2026-05-21,17.4606628470903,2026-07-17,2026-07-17,57,57,0.03048747470597596,0.03048747470597596,12,12,4714.4311903989965,4714.4311903989965,4700.0,4700.0,WARN_NOT_BRACKET_30D,17.22445544986673,0.23620739722356987,24,1.0,iv_filter_rolling_median
2026-05-22,16.804951146635748,2026-07-17,2026-07-17,56,56,0.028240638304081408,0.028240638304081408,12,12,4758.618333508511,4758.618333508511,4750.0,4750.0,WARN_NOT_BRACKET_30D,16.81825827518496,0.013307128549211455,24,1.0,iv_filter_rolling_median
2026-05-25,15.84584840576583,2026-07-17,2026-07-17,53,53,0.025109091169851154,0.025109091169851154,12,12,4825.35022671182,4825.35022671182,4800.0,4800.0,WARN_NOT_BRACKET_30D,16.11190306517354,0.26605465940770934,24,1.0,iv_filter_rolling_median
2026-05-26,15.813039132799354,2026-07-17,2026-07-17,52,52,0.02500522066154437,0.02500522066154437,12,12,4859.218249704131,4859.218249704131,4850.0,4850.0,WARN_NOT_BRACKET_30D,16.236167708729084,0.42312857592973074,24,1.0,iv_filter_rolling_median
2026-05-27,16.987976726847844,2026-07-17,2026-07-17,51,51,0.028859135327192403,0.028859135327192403,12,12,4824.046657897365,4824.046657897365,4800.0,4800.0,WARN_NOT_BRACKET_30D,16.97983844129924,0.008138285548604074,24,1.0,iv_filter_rolling_median
2026-05-28,16.8473105258166,2026-07-17,2026-07-17,50,50,0.02838318719532908,0.02838318719532908,12,12,4824.757312939438,4824.757312939438,4800.0,4800.0,WARN_NOT_BRACKET_30D,16.92650069885778,0.07919017304118015,24,1.0,iv_filter_rolling_median
2026-05-29,17.611919404205953,2026-07-17,2026-07-17,49,49,0.031017970510024615,0.031017970510024615,12,12,4813.224654557531,4813.224654557531,4800.0,4800.0,WARN_NOT_BRACKET_30D,17.75657585980974,0.14465645560378704,24,1.0,iv_filter_rolling_median
2026-06-01,17.91063591937818,2026-07-17,2026-07-17,46,46,0.03207908790365199,0.03207908790365199,12,12,4781.367388320794,4781.367388320794,4750.0,4750.0,WARN_NOT_BRACKET_30D,17.943519614775337,0.03288369539715674,24,1.0,iv_filter_rolling_median
2026-06-02,17.255744764372647,2026-07-17,2026-07-17,45,45,0.029776072737317402,0.029776072737317402,12,12,4842.787659683407,4842.787659683407,4800.0,4800.0,WARN_NOT_BRACKET_30D,17.165130898551194,0.09061386582145303,24,1.0,iv_filter_rolling_median
2026-06-03,16.40594611946869,2026-07-17,2026-07-17,44,44,0.026915506807490972,0.026915506807490972,12,12,4873.238794832948,4873.238794832948,4850.0,4850.0,WARN_NOT_BRACKET_30D,16.50308485109301,0.09713873162431952,24,1.0,iv_filter_rolling_median
