window,horizon,symbol,name,sample_size,start_date,end_date,corr_temp_fwd_return,corr_temp_fwd_excess,corr_delta_temp_fwd_excess,avg_fwd_return,avg_fwd_excess,win_rate_excess
1Y,10D,801200,商贸零售,242,2025-07-16,2026-07-15,-0.2015,-0.1765,0.0497,-0.0099,-0.0155,0.3058
1Y,10D,801180,房地产,242,2025-07-16,2026-07-15,-0.1319,-0.1112,-0.0317,-0.0061,-0.0117,0.3967
1Y,10D,801210,社会服务,242,2025-07-16,2026-07-15,-0.3007,-0.3003,0.0877,-0.0097,-0.0153,0.2975
1Y,10D,801980,美容护理,242,2025-07-16,2026-07-15,-0.105,-0.0579,0.0541,-0.0131,-0.0187,0.3182
1Y,10D,801120,食品饮料,242,2025-07-16,2026-07-15,-0.0659,-0.0114,0.0346,-0.0078,-0.0134,0.3182
1Y,20D,801200,商贸零售,232,2025-07-16,2026-07-01,-0.2147,-0.2066,-0.0205,-0.0202,-0.0332,0.3103
1Y,20D,801180,房地产,232,2025-07-16,2026-07-01,-0.1108,-0.0925,-0.0377,-0.0112,-0.0242,0.3233
1Y,20D,801210,社会服务,232,2025-07-16,2026-07-01,-0.3793,-0.3895,0.0487,-0.0181,-0.0311,0.2586
1Y,20D,801980,美容护理,232,2025-07-16,2026-07-01,-0.1544,-0.1092,-0.0007,-0.0282,-0.0412,0.1595
1Y,20D,801120,食品饮料,232,2025-07-16,2026-07-01,-0.1346,-0.0502,0.0023,-0.018,-0.031,0.2414
1Y,5D,801200,商贸零售,247,2025-07-16,2026-07-22,-0.0992,-0.0789,-0.0109,-0.0046,-0.0075,0.3441
1Y,5D,801180,房地产,247,2025-07-16,2026-07-22,-0.1309,-0.1305,-0.0684,-0.0027,-0.0057,0.3725
1Y,5D,801210,社会服务,247,2025-07-16,2026-07-22,-0.1201,-0.1008,0.0493,-0.0045,-0.0074,0.3806
1Y,5D,801980,美容护理,247,2025-07-16,2026-07-22,-0.0297,-0.0044,-0.0055,-0.0059,-0.0088,0.3603
1Y,5D,801120,食品饮料,247,2025-07-16,2026-07-22,0.0524,0.0667,0.0195,-0.0036,-0.0066,0.3482
2Y,10D,801200,商贸零售,494,2024-07-02,2026-07-15,0.0275,0.0693,0.0494,0.0042,-0.0027,0.4231
2Y,10D,801180,房地产,494,2024-07-02,2026-07-15,-0.0529,-0.0492,0.0272,0.002,-0.0049,0.4413
2Y,10D,801210,社会服务,494,2024-07-02,2026-07-15,-0.0489,-0.0378,0.0859,0.0025,-0.0044,0.4453
2Y,10D,801980,美容护理,494,2024-07-02,2026-07-15,-0.0224,-0.0029,0.0571,-0.0016,-0.0085,0.413
2Y,10D,801120,食品饮料,494,2024-07-02,2026-07-15,-0.0372,-0.0154,0.0092,-0.0022,-0.009,0.3623
2Y,20D,801200,商贸零售,484,2024-07-02,2026-07-01,0.0243,0.114,0.0194,0.0086,-0.0058,0.4298
2Y,20D,801180,房地产,484,2024-07-02,2026-07-01,-0.1304,-0.1264,0.0342,0.0052,-0.0092,0.407
2Y,20D,801210,社会服务,484,2024-07-02,2026-07-01,-0.1405,-0.1177,0.0568,0.0067,-0.0077,0.4628
2Y,20D,801980,美容护理,484,2024-07-02,2026-07-01,-0.0666,-0.0131,0.0299,-0.0035,-0.0179,0.3533
2Y,20D,801120,食品饮料,484,2024-07-02,2026-07-01,-0.049,0.0438,-0.0007,-0.006,-0.0204,0.3099
2Y,5D,801200,商贸零售,499,2024-07-02,2026-07-22,0.0646,0.0699,0.0555,0.0021,-0.0013,0.4269
2Y,5D,801180,房地产,499,2024-07-02,2026-07-22,-0.0063,-0.0307,0.0302,0.0008,-0.0026,0.4429
2Y,5D,801210,社会服务,499,2024-07-02,2026-07-22,0.0263,0.0176,0.0832,0.0013,-0.0022,0.4649
2Y,5D,801980,美容护理,499,2024-07-02,2026-07-22,0.0314,0.0297,0.0931,-0.0005,-0.0039,0.4128
2Y,5D,801120,食品饮料,499,2024-07-02,2026-07-22,0.0146,-0.0012,0.0227,-0.001,-0.0044,0.3808
