trade_date,avix_clean,avix_quality,avix_percentile_2y,avix_zscore_1y,avix_5d_change,qvix_confirmation,qvix_close,qvix_quality,qvix_source,qvix_quote_time,qvix_delay_minutes,age_seconds,is_proxy,is_delayed,sample_size,observed,quality_flags,is_final,qvix_secondary_source,qvix_source_agreement,qvix_source_value_delta,qvix_secondary_close,qvix_replica,qvix_replica_quality,qvix_replica_method,rv20,rv60,realized_vol_percentile,sh000300_close,sh000300_dd60,sh000001_close,sh000001_dd60,hs300_dd_score,sse_dd_score,drawdown_pressure,advancing_ratio,decline_ratio,big_down_ratio,limit_down_ratio,breadth_pressure,breadth_quality,source,source_quote_time,fetch_time,age_seconds_extra,is_proxy_extra,is_delayed_extra,sample_size_extra,observed_extra,quality_flags_extra,secondary_source,secondary_valid_count,secondary_breadth_score,source_score_delta,source_agreement,volume_ratio_20,turnover_stress,session_progress,full_day_volume_estimate,volume_mean_20_baseline,avix_observed,qvix_observed,realized_vol_observed,drawdown_observed,breadth_observed,turnover_observed,qvix_quality_flags,qvix_age_seconds,breadth_source_agreement,breadth_quality_flags,breadth_age_seconds,market_breadth_pressure,risk_temperature,regime,regime_cn,quality,model_confidence,model_coverage_score,model_data_quality_score,model_missing_components
2019-12-23,15.985252291885004,WARN_NOT_BRACKET_30D,50.0,50.0,50.0,30.0,15.78,OK,OPTBBS_PARSE_300INDEX_QVIX,,,,False,False,1.0,True,OK,True,,,,,15.985252291885004,WARN_REPLICA_UNCALIBRATED,AVIX_CLEAN_MINUS_PRIOR_252D_MEDIAN_AVIX_QVIX_SPREAD,,,50.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,True,True,False,False,False,False,OK,,,,,50.0,47.6,CAUTION,警戒,WARN_BREADTH_MISSING|WARN_NOT_BRACKET_30D,62.0,62.0,100.0,REALIZED_VOL|DRAWDOWN|BREADTH|TURNOVER
2019-12-24,15.314159289699822,WARN_NOT_BRACKET_30D,50.0,50.0,50.0,100.0,15.2,OK,OPTBBS_PARSE_300INDEX_QVIX,,,,False,False,1.0,True,OK,True,,,,,15.314159289699822,WARN_REPLICA_UNCALIBRATED,AVIX_CLEAN_MINUS_PRIOR_252D_MEDIAN_AVIX_QVIX_SPREAD,,,50.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,True,True,False,False,False,False,OK,,,,,50.0,56.0,CAUTION,警戒,WARN_BREADTH_MISSING|WARN_NOT_BRACKET_30D,62.0,62.0,100.0,REALIZED_VOL|DRAWDOWN|BREADTH|TURNOVER
2019-12-25,14.908624072503116,WARN_NOT_BRACKET_30D,50.0,50.0,50.0,100.0,14.93,OK,OPTBBS_PARSE_300INDEX_QVIX,,,,False,False,1.0,True,OK,True,,,,,14.908624072503116,WARN_REPLICA_UNCALIBRATED,AVIX_CLEAN_MINUS_PRIOR_252D_MEDIAN_AVIX_QVIX_SPREAD,,,50.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,True,True,False,False,False,False,OK,,,,,50.0,56.0,CAUTION,警戒,WARN_BREADTH_MISSING|WARN_NOT_BRACKET_30D,62.0,62.0,100.0,REALIZED_VOL|DRAWDOWN|BREADTH|TURNOVER
2019-12-26,14.65375738780603,WARN_NOT_BRACKET_30D,50.0,50.0,50.0,100.0,14.71,OK,OPTBBS_PARSE_300INDEX_QVIX,,,,False,False,1.0,True,OK,True,,,,,14.65375738780603,WARN_REPLICA_UNCALIBRATED,AVIX_CLEAN_MINUS_PRIOR_252D_MEDIAN_AVIX_QVIX_SPREAD,,,50.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,True,True,False,False,False,False,OK,,,,,50.0,56.0,CAUTION,警戒,WARN_BREADTH_MISSING|WARN_NOT_BRACKET_30D,62.0,62.0,100.0,REALIZED_VOL|DRAWDOWN|BREADTH|TURNOVER
2019-12-27,15.025494893121945,WARN_NOT_BRACKET_30D,50.0,50.0,50.0,100.0,15.15,OK,OPTBBS_PARSE_300INDEX_QVIX,,,,False,False,1.0,True,OK,True,,,,,15.025494893121945,WARN_REPLICA_UNCALIBRATED,AVIX_CLEAN_MINUS_PRIOR_252D_MEDIAN_AVIX_QVIX_SPREAD,,,50.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,True,True,False,False,False,False,OK,,,,,50.0,56.0,CAUTION,警戒,WARN_BREADTH_MISSING|WARN_NOT_BRACKET_30D,62.0,62.0,100.0,REALIZED_VOL|DRAWDOWN|BREADTH|TURNOVER
2019-12-30,16.265988630567662,WARN_NOT_BRACKET_30D,50.0,50.0,53.51244176265113,100.0,16.47,OK,OPTBBS_PARSE_300INDEX_QVIX,,,,False,False,1.0,True,OK,True,,,,,16.287364558064546,WARN_REPLICA_LOW_CALIBRATION,AVIX_CLEAN_MINUS_PRIOR_252D_MEDIAN_AVIX_QVIX_SPREAD,,,50.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,True,True,False,False,False,False,OK,,,,,50.0,56.3,CAUTION,警戒,WARN_BREADTH_MISSING|WARN_NOT_BRACKET_30D,62.0,62.0,100.0,REALIZED_VOL|DRAWDOWN|BREADTH|TURNOVER
2019-12-31,17.44079795011284,WARN_NOT_BRACKET_30D,50.0,50.0,77.77349536704085,100.0,17.69,OK,OPTBBS_PARSE_300INDEX_QVIX,,,,False,False,1.0,True,OK,True,,,,,17.479607219958268,WARN_REPLICA_LOW_CALIBRATION,AVIX_CLEAN_MINUS_PRIOR_252D_MEDIAN_AVIX_QVIX_SPREAD,,,50.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,True,True,False,False,False,False,OK,,,,,50.0,58.2,CAUTION,警戒,WARN_BREADTH_MISSING|WARN_NOT_BRACKET_30D,62.0,62.0,100.0,REALIZED_VOL|DRAWDOWN|BREADTH|TURNOVER
2020-01-02,19.08771648372733,WARN_NOT_BRACKET_30D,50.0,50.0,100.0,100.0,19.22,OK,OPTBBS_PARSE_300INDEX_QVIX,,,,False,False,1.0,True,OK,True,,,,,19.143959095921304,WARN_REPLICA_LOW_CALIBRATION,AVIX_CLEAN_MINUS_PRIOR_252D_MEDIAN_AVIX_QVIX_SPREAD,,,50.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,True,True,False,False,False,False,OK,,,,,50.0,60.0,HIGH_RISK,高风险,WARN_BREADTH_MISSING|WARN_NOT_BRACKET_30D,62.0,62.0,100.0,REALIZED_VOL|DRAWDOWN|BREADTH|TURNOVER
2020-01-03,18.80510589020697,WARN_NOT_BRACKET_30D,50.0,50.0,100.0,100.0,18.76,OK,OPTBBS_PARSE_300INDEX_QVIX,,,,False,False,1.0,True,OK,True,,,,,18.895479749742982,WARN_REPLICA_LOW_CALIBRATION,AVIX_CLEAN_MINUS_PRIOR_252D_MEDIAN_AVIX_QVIX_SPREAD,,,50.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,True,True,False,False,False,False,OK,,,,,50.0,60.0,HIGH_RISK,高风险,WARN_BREADTH_MISSING|WARN_NOT_BRACKET_30D,62.0,62.0,100.0,REALIZED_VOL|DRAWDOWN|BREADTH|TURNOVER
2020-01-06,19.583319362361497,WARN_NOT_BRACKET_30D,50.0,50.0,100.0,30.0,18.76,OK,OPTBBS_PARSE_300INDEX_QVIX,,,,False,False,1.0,True,OK,True,,,,,19.63956197455547,WARN_REPLICA_LOW_CALIBRATION,AVIX_CLEAN_MINUS_PRIOR_252D_MEDIAN_AVIX_QVIX_SPREAD,,,50.0,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,50.0,,,,True,True,False,False,False,False,OK,,,,,50.0,51.6,CAUTION,警戒,WARN_BREADTH_MISSING|WARN_NOT_BRACKET_30D,62.0,62.0,100.0,REALIZED_VOL|DRAWDOWN|BREADTH|TURNOVER
