window,horizon,symbol,name,sample_size,start_date,end_date,corr_temp_fwd_return,corr_delta_temp_fwd_return,corr_temp_fwd_excess,corr_delta_temp_fwd_excess,corr_temp_sync_return,corr_temp_sync_excess,avg_fwd_return,avg_fwd_excess,high_risk_sample,low_risk_sample,high_risk_avg_excess,low_risk_avg_excess,high_risk_win_rate,high_risk_max_drawdown,strength
1Y,10D,801170,交通运输,242,2025-08-12,2026-08-11,-0.0283,0.0126,-0.0239,-0.0092,-0.1783,0.1489,-0.0036,-0.0075,7,54,0.0022,-0.0024,0.4286,-0.0081,很弱
1Y,10D,801760,传媒,242,2025-08-12,2026-08-11,-0.0266,0.0636,-0.0305,0.0594,-0.1109,0.0736,-0.0043,-0.0083,7,54,0.0581,0.0019,1.0,-0.0517,很弱
1Y,10D,801160,公用事业,242,2025-08-12,2026-08-11,-0.3039,-0.0159,-0.2624,-0.028,-0.1982,0.1084,0.0017,-0.0023,7,54,-0.0112,0.0126,0.2857,-0.0033,弱
1Y,10D,801010,农林牧渔,242,2025-08-12,2026-08-11,0.0229,-0.0274,0.0187,-0.039,-0.1526,0.0943,-0.0056,-0.0095,7,54,0.0105,-0.0006,0.7143,-0.0265,很弱
1Y,10D,801150,医药生物,242,2025-08-12,2026-08-11,0.3128,0.0919,0.2975,0.0738,-0.1278,0.1132,-0.0038,-0.0077,7,54,0.0514,-0.0097,0.7143,-0.0589,弱
1Y,10D,801200,商贸零售,242,2025-08-12,2026-08-11,-0.0228,0.0528,-0.026,0.0394,-0.1766,0.0675,-0.0091,-0.0131,7,54,0.0191,-0.006,0.7143,-0.0349,很弱
1Y,10D,801740,国防军工,242,2025-08-12,2026-08-11,-0.178,-0.0329,-0.2179,-0.0505,-0.3056,-0.1683,-0.0021,-0.006,7,54,0.037,0.0264,1.0,-0.0854,弱
1Y,10D,801030,基础化工,242,2025-08-12,2026-08-11,-0.0755,0.0083,-0.0957,-0.0038,-0.3402,-0.1653,0.0055,0.0015,7,54,0.0403,0.0105,1.0,-0.0584,很弱
1Y,10D,801110,家用电器,242,2025-08-12,2026-08-11,0.0819,0.0515,0.0711,0.026,-0.1745,0.1812,-0.0011,-0.005,7,54,-0.0028,-0.0084,0.5714,-0.0147,很弱
1Y,10D,801710,建筑材料,242,2025-08-12,2026-08-11,-0.0245,-0.0102,-0.0316,-0.0227,-0.2928,-0.1645,0.0094,0.0054,7,54,0.0356,0.004,0.7143,-0.1317,很弱
1Y,10D,801720,建筑装饰,242,2025-08-12,2026-08-11,-0.1764,-0.0014,-0.2054,-0.0215,-0.2988,-0.0035,-0.0019,-0.0058,7,54,0.0195,0.0087,1.0,-0.0452,弱
1Y,10D,801180,房地产,242,2025-08-12,2026-08-11,0.0641,-0.0213,0.071,-0.0412,-0.2439,-0.0016,-0.0057,-0.0096,7,54,0.0273,-0.0155,0.8571,-0.0534,很弱
1Y,10D,801050,有色金属,242,2025-08-12,2026-08-11,-0.0488,-0.0361,-0.0601,-0.0528,-0.2774,-0.1928,0.0178,0.0139,7,54,0.0745,0.0231,1.0,-0.0766,很弱
1Y,10D,801890,机械设备,242,2025-08-12,2026-08-11,-0.0613,0.0161,-0.0856,0.0082,-0.3279,-0.2202,0.0081,0.0041,7,54,0.0498,0.0127,0.8571,-0.1676,很弱
1Y,10D,801880,汽车,242,2025-08-12,2026-08-11,-0.0257,0.0357,-0.0354,0.0265,-0.3099,-0.07,-0.0057,-0.0096,7,54,0.0218,-0.0039,0.8571,-0.0599,很弱
