trade_date,contract,month,cp,strike,expiry_date,dte,bid,ask,last,open_interest,mid,valid_price,source
2026-07-03,ioc2800,2026-07,C,2800.0,2026-07-17,14,1694.8,1725.2,1691.6,183.0,1710.0,True,SINA_AKSHARE_REALTIME
2026-07-03,iop2800,2026-07,P,2800.0,2026-07-17,14,0.0,0.2,0.2,629.0,,False,SINA_AKSHARE_REALTIME
2026-07-03,ioc2850,2026-07,C,2850.0,2026-07-17,14,1085.4,1085.6,1082.6,50.0,1085.5,True,SINA_AKSHARE_REALTIME
2026-07-03,iop2850,2026-07,P,2850.0,2026-07-17,14,0.2,0.4,0.2,270.0,0.30000000000000004,True,SINA_AKSHARE_REALTIME
2026-07-03,ioc2900,2026-07,C,2900.0,2026-07-17,14,1595.0,1624.2,1607.2,135.0,1609.6,True,SINA_AKSHARE_REALTIME
2026-07-03,iop2900,2026-07,P,2900.0,2026-07-17,14,0.0,0.2,0.2,290.0,,False,SINA_AKSHARE_REALTIME
2026-07-03,ioc2950,2026-07,C,2950.0,2026-07-17,14,985.4,985.6,1000.6,34.0,985.5,True,SINA_AKSHARE_REALTIME
2026-07-03,iop2950,2026-07,P,2950.0,2026-07-17,14,0.0,0.2,0.2,313.0,,False,SINA_AKSHARE_REALTIME
2026-07-03,ioc3000,2026-07,C,3000.0,2026-07-17,14,1496.4,1524.2,1491.6,120.0,1510.3000000000002,True,SINA_AKSHARE_REALTIME
2026-07-03,iop3000,2026-07,P,3000.0,2026-07-17,14,0.0,0.2,0.2,368.0,,False,SINA_AKSHARE_REALTIME
2026-07-03,ioc3050,2026-07,C,3050.0,2026-07-17,14,885.4,885.6,887.2,37.0,885.5,True,SINA_AKSHARE_REALTIME
2026-07-03,iop3050,2026-07,P,3050.0,2026-07-17,14,0.0,0.2,0.2,346.0,,False,SINA_AKSHARE_REALTIME
2026-07-03,ioc3100,2026-07,C,3100.0,2026-07-17,14,1376.2,1396.6,1414.4,105.0,1386.4,True,SINA_AKSHARE_REALTIME
2026-07-03,iop3100,2026-07,P,3100.0,2026-07-17,14,0.0,0.2,0.2,382.0,,False,SINA_AKSHARE_REALTIME
2026-07-03,ioc3150,2026-07,C,3150.0,2026-07-17,14,785.4,785.6,800.6,57.0,785.5,True,SINA_AKSHARE_REALTIME
