最新价,涨跌幅,成交额,换手率,量比,代码,名称,fetch_time,source
9.0,20.0,318698130.98,12.24,12.08,300534,陇神戎发,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
12.3,20.0,58402023.6,1.02,0.55,300214,日科化学,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
70.06,19.47,945894972.47,23.0,5.9,301310,鑫宏业,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
53.3,17.97,672257747.28,40.98,3.11,301520,万邦医药,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
5.17,15.14,276141193.89,6.08,12.15,300039,上海凯宝,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
63.0,14.55,635892002.59,17.54,4.19,301092,争光股份,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
134.78,14.03,1565462996.0,5.06,6.3,688608,恒玄科技,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
40.05,12.5,1316872729.38,15.63,2.54,301379,天山电子,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
14.06,11.5,131049291.6,7.55,3.8,300929,华骐环保,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
0.39,11.43,3471928.8,9.18,6.11,002898,赛隆退,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
14.24,11.25,339414167.0,4.42,2.74,688176,亚虹医药-U,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
0.51,10.87,1135265.61,1.76,1.29,000004,国华退,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
1004.0,10.41,2202190713.0,12.25,2.05,688802,沐曦股份-U,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
418.01,10.39,3601048018.0,4.3,2.29,688702,盛科通信-U,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
3.71,10.09,704413919.0,7.64,11.21,600664,哈药股份,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
11.72,10.05,49682252.0,1.73,1.65,600992,贵绳股份,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
14.03,10.04,517315823.84,8.04,7.27,000920,沃顿科技,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
8.55,10.04,71559234.0,1.82,0.82,603318,水发燃气,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
15.9,10.03,554601625.63,3.17,4.38,002379,宏桥控股,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
6.8,10.03,274340137.0,5.89,4.06,603669,灵康药业,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
21.4,10.03,725623016.0,8.29,1.97,603065,宿迁联盛,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
9.55,10.02,388148145.18,7.52,4.28,002235,安妮股份,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
29.43,10.02,559390794.0,11.03,3.31,603137,恒尚节能,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
23.83,10.02,147128295.0,7.74,7.3,003030,祖名股份,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
24.71,10.02,321021381.0,6.3,6.31,603933,睿能科技,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
30.22,10.01,1667233956.71,7.4,1.67,002396,星网锐捷,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
41.78,10.01,1544083371.0,5.25,7.09,605090,九丰能源,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
55.09,10.0,120772120.0,5.94,1.64,603120,肯特催化,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
1.65,10.0,145205745.0,2.76,8.42,600881,亚泰集团,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
3.63,10.0,30939287.0,2.17,4.08,002581,*ST未名,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
21.13,9.99,143390934.0,5.69,5.89,600671,天目药业,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
96.8,9.99,1011949088.0,8.64,2.57,688261,东微半导,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
17.19,9.98,107238435.42,4.4,4.15,301019,宁波色母,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
20.61,9.98,309651335.76,9.0,5.29,003020,立方制药,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
4.85,9.98,76039809.0,1.65,5.28,601002,晋亿实业,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
7.51,9.96,1157871618.0,3.42,6.2,600839,四川长虹,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
9.88,9.9,1295119470.0,5.38,14.31,600428,中远海特,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
1.23,9.82,5639882.0,0.3,0.37,600491,ST龙元,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
33.67,9.32,1025007294.27,10.67,3.27,002674,兴业科技,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
18.69,9.23,302616008.0,4.96,9.07,688101,三达膜,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
213.15,9.18,1602846571.0,5.79,2.96,688268,华特气体,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
10.77,9.12,129413399.82,3.09,4.53,301277,新天地,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
24.39,8.84,376661034.0,2.8,1.86,688382,益方生物-U,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
133.56,8.74,1290059679.79,13.36,2.45,301191,菲菱科思,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
24.53,8.59,147610192.0,3.86,3.9,605303,园林股份,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
8.84,8.33,436351358.85,7.12,12.8,000989,九芝堂,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
13.51,8.17,111045310.34,7.28,11.73,300519,新光药业,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
46.92,8.16,1304198623.0,8.0,2.78,688584,上海合晶,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
37.19,8.14,1754845798.0,8.61,2.58,688106,金宏气体,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
164.02,8.1,2052549985.8,2.08,3.63,002028,思源电气,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
51.51,8.06,891568454.0,5.52,3.65,603031,安孚科技,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
18.56,7.91,405316296.0,1.65,3.14,600801,华新建材,2026-07-13T02:43:25,EASTMONEY_DIRECT_A_SPOT
