看涨合约-买量,看涨合约-买价,看涨合约-最新价,看涨合约-卖价,看涨合约-卖量,看涨合约-持仓量,看涨合约-涨跌,行权价,看涨合约-标识,看跌合约-买量,看跌合约-买价,看跌合约-最新价,看跌合约-卖价,看跌合约-卖量,看跌合约-持仓量,看跌合约-涨跌,看跌合约-标识,month_symbol,source,fetch_time
1,600.0,615.6,603.8,6,253,-14.64,3900,io2612C3900,6,35.0,35.2,35.6,7,1332,67.62,io2612P3900,io2612,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
3,511.6,525.0,515.8,6,225,-15.73,4000,io2612C4000,3,46.8,44.0,47.6,1,390,58.27,io2612P4000,io2612,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
1,519.6,520.8,542.2,1,281,-6.43,4100,io2612C4100,3,62.0,61.8,63.0,1,920,67.93,io2612P4100,io2612,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
3,350.2,374.4,354.2,6,218,-16.2,4200,io2612C4200,3,83.8,83.6,85.2,4,881,63.92,io2612P4200,io2612,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
3,280.4,299.0,284.0,3,268,-18.53,4300,io2612C4300,3,113.0,113.2,114.8,4,814,61.71,io2612P4300,io2612,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
4,220.6,222.0,223.6,3,709,-24.69,4400,io2612C4400,3,152.2,153.2,154.0,1,1277,54.44,io2612P4400,io2612,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
1,172.0,174.2,173.6,6,2106,-24.39,4500,io2612C4500,3,200.8,195.0,203.4,6,1368,45.31,io2612P4500,io2612,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
4,130.8,132.4,132.6,9,1109,-27.49,4600,io2612C4600,3,259.8,240.0,262.6,1,1124,32.89,io2612P4600,io2612,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
3,100.4,100.4,102.0,1,1597,-28.39,4700,io2612C4700,3,328.6,317.6,332.0,3,907,33.45,io2612P4700,io2612,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
1,78.2,78.8,79.0,3,1317,-25.66,4800,io2612C4800,9,405.2,405.0,409.4,6,612,32.7,io2612P4800,io2612,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
6,61.0,64.0,62.2,6,1069,-21.76,4900,io2612C4900,3,487.4,470.8,490.8,3,230,23.5,io2612P4900,io2612,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
2,50.0,50.6,50.4,3,2425,-22.39,5000,io2612C5000,3,574.4,517.4,579.2,3,334,11.65,io2612P5000,io2612,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
6,31.6,31.6,32.8,2,1501,-23.3,5200,io2612C5200,1,622.0,663.2,654.6,1,365,7.7,io2612P5200,io2612,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
27,22.4,22.4,22.8,2,2504,-21.13,5400,io2612C5400,9,944.8,912.0,950.4,3,514,10.73,io2612P5400,io2612,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
12,16.6,17.0,17.2,2,4355,-16.67,5600,io2612C5600,2,1000.0,1034.4,1032.8,1,312,4.57,io2612P5600,io2612,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
6,638.6,709.0,642.8,18,244,-8.28,3900,io2609C3900,4,2.8,2.8,3.0,22,1029,133.33,io2609P3900,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
18,540.4,553.4,544.8,12,186,-17.92,4000,io2609C4000,38,4.6,4.8,5.0,149,1318,140.0,io2609P4000,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
12,491.8,513.8,496.2,12,70,-17.71,4050,io2609C4050,42,5.8,6.0,6.2,99,296,172.73,io2609P4050,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
8,444.8,461.0,448.0,6,149,-19.91,4100,io2609C4100,12,8.2,8.4,8.4,17,924,180.0,io2609P4100,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
12,397.2,399.8,401.0,12,49,-24.02,4150,io2609C4150,15,10.8,10.6,11.2,21,386,178.95,io2609P4150,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
7,352.2,356.0,355.0,18,462,-25.55,4200,io2609C4200,17,14.6,14.4,14.8,31,1698,176.92,io2609P4200,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
6,306.4,316.8,310.6,6,80,-26.22,4250,io2609C4250,5,19.8,20.0,20.4,27,837,203.03,io2609P4250,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
18,264.0,271.8,266.6,6,381,-29.03,4300,io2609C4300,10,26.6,26.8,26.8,8,2174,191.3,io2609P4300,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
18,222.6,227.0,226.6,18,61,-32.32,4350,io2609C4350,4,36.0,36.2,36.6,24,1235,174.24,io2609P4350,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
6,186.0,187.8,188.0,3,1030,-35.46,4400,io2609C4400,6,48.0,48.2,48.8,20,2601,167.78,io2609P4400,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
1,151.8,152.0,153.0,3,165,-38.51,4450,io2609C4450,14,62.8,62.8,63.8,24,1241,155.28,io2609P4450,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
1,121.0,122.0,122.2,3,2607,-40.95,4500,io2609C4500,23,81.8,82.4,82.8,18,3524,149.7,io2609P4500,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
6,94.4,95.0,95.2,15,982,-43.79,4550,io2609C4550,6,105.2,105.8,106.4,13,1666,134.07,io2609P4550,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
4,72.6,72.6,72.8,1,4127,-45.74,4600,io2609C4600,4,133.2,134.2,134.4,8,4055,117.15,io2609P4600,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
1,54.6,55.0,55.2,28,1924,-47.22,4650,io2609C4650,1,164.6,164.6,166.6,13,2008,107.83,io2609P4650,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
1,40.8,41.2,41.2,19,6895,-48.37,4700,io2609C4700,9,200.4,199.6,202.4,12,2443,89.02,io2609P4700,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
15,29.2,30.0,30.0,33,1963,-48.1,4750,io2609C4750,9,239.0,236.6,241.0,6,691,78.97,io2609P4750,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
31,21.2,21.4,21.4,1,5577,-49.05,4800,io2609C4800,6,280.8,271.0,283.4,12,1000,63.06,io2609P4800,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
33,14.6,15.4,15.2,26,2878,-46.15,4850,io2609C4850,12,324.6,315.6,327.2,18,308,53.5,io2609P4850,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
11,10.8,10.8,11.0,3,4286,-47.06,4900,io2609C4900,6,370.2,368.6,372.6,6,701,51.07,io2609P4900,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
24,7.6,8.0,8.0,32,1750,-43.66,4950,io2609C4950,12,416.4,408.0,420.6,12,97,40.69,io2609P4950,io2609,SINA_AKSHARE_REALTIME_MONTH,2026-08-19T06:09:30
