date,open,high,low,close,volume,contract,month,cp,strike,source,fetch_time
2022-09-23,16.8000,25.0000,16.4000,19.2000,303,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-09-26,19.4000,22.4000,15.0000,21.4000,236,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-09-27,19.2000,22.6000,14.6000,15.6000,150,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-09-28,17.8000,20.4000,17.6000,19.0000,406,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-09-29,15.2000,21.2000,14.2000,17.0000,224,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-09-30,17.0000,21.8000,15.4000,20.2000,395,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-10-10,19.6000,24.2000,14.2000,23.4000,304,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-10-11,21.6000,25.0000,19.6000,22.0000,297,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-10-12,23.6000,32.8000,12.6000,12.8000,664,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-10-13,15.6000,18.4000,13.4000,16.2000,653,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-10-14,12.4000,13.2000,7.8000,8.2000,375,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-10-17,9.0000,10.0000,7.0000,7.0000,352,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-10-18,6.0000,7.6000,5.8000,7.0000,146,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-10-19,6.4000,11.0000,6.4000,11.0000,449,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-10-20,12.4000,16.8000,7.6000,12.6000,586,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-10-21,12.0000,15.4000,11.0000,13.2000,431,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-10-24,14.4000,43.0000,9.0000,35.0000,1740,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-10-25,36.0000,47.6000,18.8000,30.6000,2687,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-10-26,25.4000,28.0000,11.4000,19.0000,2441,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-10-27,15.6000,21.0000,11.6000,19.2000,1718,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-10-28,21.2000,45.8000,20.8000,43.0000,4367,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-10-31,60.0000,64.6000,35.2000,58.0000,5140,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-11-01,47.4000,48.8000,12.6000,13.0000,4077,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-11-02,15.0000,15.6000,5.2000,7.6000,2269,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-11-03,9.4000,12.0000,7.2000,7.8000,1236,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-11-04,8.4000,8.4000,1.8000,2.2000,1872,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-11-07,2.2000,2.4000,1.6000,2.0000,339,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-11-08,2.0000,2.2000,1.6000,1.6000,319,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-11-09,1.4000,1.6000,1.0000,1.2000,450,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-11-10,2.0000,2.8000,1.2000,1.6000,819,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-11-11,0.8000,1.0000,0.2000,0.4000,469,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-11-14,0.2000,0.6000,0.2000,0.2000,160,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-11-15,0.2000,0.6000,0.2000,0.2000,155,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-11-16,0.2000,0.4000,0.2000,0.2000,77,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-11-17,0.2000,0.2000,0.2000,0.2000,32,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
2022-11-18,0.2000,0.2000,0.2000,0.2000,43,io2211p3450,2022-11,P,3450,SINA_AKSHARE,2026-07-03T17:15:20
