symbol,name,member_count,pe_static,pe_ttm,pb,dividend_yield,source,fetch_time
801010,农林牧渔,104,21.84,27.57,2.04,2.37,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801030,基础化工,410,25.07,24.15,2.26,1.65,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801040,钢铁,43,15.61,15.96,0.88,2.54,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801050,有色金属,140,22.89,19.05,3.13,1.46,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801080,电子,494,82.2,73.18,7.68,0.45,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801880,汽车,289,21.15,22.2,2.05,1.97,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801110,家用电器,93,14.86,15.11,2.23,4.12,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801120,食品饮料,123,20.0,19.7,3.41,4.74,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801130,纺织服饰,107,18.32,18.27,1.52,4.24,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801140,轻工制造,156,19.82,20.37,1.84,2.96,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801150,医药生物,480,29.29,28.83,2.65,1.74,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801160,公用事业,137,19.18,19.63,1.76,2.69,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801170,交通运输,126,14.8,14.52,1.18,3.67,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801180,房地产,95,10.05,9.93,0.92,2.22,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801200,商贸零售,99,23.61,21.27,1.74,2.15,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801210,社会服务,82,27.81,28.14,2.17,1.94,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801780,银行,42,6.9,6.84,0.65,5.51,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801790,非银金融,79,10.38,10.4,1.27,2.33,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801230,综合,20,75.11,74.48,3.41,1.02,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801710,建筑材料,72,34.73,34.06,1.89,2.95,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801720,建筑装饰,148,9.52,9.93,0.64,3.3,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801730,电力设备,378,30.8,28.95,3.11,1.37,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801890,机械设备,537,36.5,36.47,3.09,1.35,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801740,国防军工,138,58.64,53.13,3.43,0.67,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801750,计算机,334,49.14,46.57,3.84,1.12,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801760,传媒,130,24.2,23.29,1.9,2.67,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801770,通信,122,31.18,30.82,2.92,2.06,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801950,煤炭,33,17.77,17.85,1.72,5.12,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801960,石油石化,47,14.14,13.56,1.27,4.03,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801970,环保,130,19.52,18.53,1.38,2.19,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
801980,美容护理,28,27.42,27.73,2.33,2.48,AKSHARE_SW_LEVEL1_VALUATION,2026-07-22T16:38:08+08:00
