window,horizon,symbol,name,sample_size,start_date,end_date,corr_temp_fwd_return,corr_temp_fwd_excess,corr_delta_temp_fwd_excess,avg_fwd_return,avg_fwd_excess,win_rate_excess
1Y,10D,801200,商贸零售,242,2025-09-08,2026-09-07,0.0447,0.0281,0.033,-0.0106,-0.011,0.3512
1Y,10D,801180,房地产,242,2025-09-08,2026-09-07,0.0836,0.0777,-0.0276,-0.0079,-0.0083,0.4256
1Y,10D,801210,社会服务,242,2025-09-08,2026-09-07,0.055,0.0413,0.0565,-0.0075,-0.0079,0.3636
1Y,10D,801980,美容护理,242,2025-09-08,2026-09-07,0.1182,0.0901,0.0621,-0.015,-0.0154,0.3512
1Y,10D,801120,食品饮料,242,2025-09-08,2026-09-07,0.0734,0.0386,0.0339,-0.0102,-0.0106,0.3843
1Y,20D,801200,商贸零售,232,2025-09-08,2026-08-24,0.1091,0.1248,-0.0333,-0.0197,-0.0203,0.4397
1Y,20D,801180,房地产,232,2025-09-08,2026-08-24,0.1239,0.1674,-0.0354,-0.0168,-0.0174,0.4009
1Y,20D,801210,社会服务,232,2025-09-08,2026-08-24,0.0361,0.0537,0.0201,-0.0138,-0.0143,0.3966
1Y,20D,801980,美容护理,232,2025-09-08,2026-08-24,0.1787,0.1779,0.0046,-0.0284,-0.029,0.2629
1Y,20D,801120,食品饮料,232,2025-09-08,2026-08-24,0.1556,0.1231,-0.0063,-0.0187,-0.0192,0.3491
1Y,5D,801200,商贸零售,247,2025-09-08,2026-09-14,0.0521,0.0111,0.0026,-0.0055,-0.0057,0.3563
1Y,5D,801180,房地产,247,2025-09-08,2026-09-14,0.0491,0.0105,-0.0396,-0.0035,-0.0037,0.3968
1Y,5D,801210,社会服务,247,2025-09-08,2026-09-14,0.1079,0.0685,0.0649,-0.0039,-0.0042,0.4211
1Y,5D,801980,美容护理,247,2025-09-08,2026-09-14,0.1123,0.0662,0.0238,-0.0077,-0.0079,0.3522
1Y,5D,801120,食品饮料,247,2025-09-08,2026-09-14,0.0933,0.0307,0.0121,-0.0053,-0.0056,0.3644
2Y,10D,801200,商贸零售,494,2024-08-23,2026-09-07,0.0513,0.1382,0.0339,0.0058,-0.0014,0.4291
2Y,10D,801180,房地产,494,2024-08-23,2026-09-07,-0.0411,0.0113,0.002,0.004,-0.0032,0.4636
2Y,10D,801210,社会服务,494,2024-08-23,2026-09-07,0.0012,0.0785,0.0576,0.0052,-0.002,0.4676
2Y,10D,801980,美容护理,494,2024-08-23,2026-09-07,-0.0335,0.0194,0.0449,0.0006,-0.0065,0.4312
2Y,10D,801120,食品饮料,494,2024-08-23,2026-09-07,-0.0486,0.0137,-0.0001,-0.0012,-0.0084,0.3785
2Y,20D,801200,商贸零售,484,2024-08-23,2026-08-24,0.0481,0.2252,0.0078,0.0121,-0.0034,0.4463
2Y,20D,801180,房地产,484,2024-08-23,2026-08-24,-0.116,-0.0016,0.0259,0.0082,-0.0072,0.438
2Y,20D,801210,社会服务,484,2024-08-23,2026-08-24,-0.0819,0.0672,0.0412,0.0108,-0.0047,0.4814
2Y,20D,801980,美容护理,484,2024-08-23,2026-08-24,-0.071,0.0738,0.0209,0.0019,-0.0136,0.3864
2Y,20D,801120,食品饮料,484,2024-08-23,2026-08-24,-0.0649,0.1248,-0.0132,-0.0016,-0.0171,0.3347
2Y,5D,801200,商贸零售,499,2024-08-23,2026-09-14,0.0742,0.0894,0.0471,0.0028,-0.0007,0.4369
2Y,5D,801180,房地产,499,2024-08-23,2026-09-14,-0.008,-0.0243,0.0125,0.002,-0.0015,0.4569
2Y,5D,801210,社会服务,499,2024-08-23,2026-09-14,0.0604,0.0769,0.0807,0.0025,-0.001,0.495
2Y,5D,801980,美容护理,499,2024-08-23,2026-09-14,0.0151,0.0123,0.0816,0.0006,-0.0029,0.4228
2Y,5D,801120,食品饮料,499,2024-08-23,2026-09-14,-0.0112,-0.0278,-0.0033,-0.0006,-0.0041,0.3808
