trade_date,risk_temperature,regime,regime_cn,quality
2019-12-23,37.6,NORMAL,正常,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2019-12-24,39.6,NORMAL,正常,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2019-12-25,41.4,CAUTION,警戒,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2019-12-26,39.1,NORMAL,正常,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2019-12-27,44.8,CAUTION,警戒,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2019-12-30,40.3,CAUTION,警戒,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2019-12-31,41.2,CAUTION,警戒,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2020-01-02,44.7,CAUTION,警戒,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2020-01-03,45.8,CAUTION,警戒,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2020-01-06,38.5,NORMAL,正常,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2020-01-07,43.0,CAUTION,警戒,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2020-01-08,41.0,CAUTION,警戒,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2020-01-09,40.5,CAUTION,警戒,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2020-01-10,44.5,CAUTION,警戒,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2020-01-13,37.7,NORMAL,正常,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2020-01-14,43.0,CAUTION,警戒,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2020-01-15,41.5,CAUTION,警戒,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2020-01-16,42.1,CAUTION,警戒,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2020-01-17,39.4,NORMAL,正常,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2020-01-20,21.6,NORMAL,正常,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2020-01-21,45.1,CAUTION,警戒,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2020-01-22,33.7,NORMAL,正常,WARN_BREADTH_PROXY
2020-01-23,71.8,HIGH_RISK,高风险,WARN_BREADTH_PROXY
2020-02-03,92.1,EXTREME_PANIC,极端恐慌,WARN_BREADTH_PROXY
2020-02-04,85.6,PANIC,恐慌区,WARN_BREADTH_PROXY
2020-02-05,81.0,PANIC,恐慌区,WARN_BREADTH_PROXY
2020-02-06,73.1,HIGH_RISK,高风险,WARN_BREADTH_PROXY
2020-02-07,78.8,PANIC,恐慌区,WARN_BREADTH_PROXY
2020-02-10,69.6,HIGH_RISK,高风险,WARN_BREADTH_PROXY
2020-02-11,67.9,HIGH_RISK,高风险,WARN_BREADTH_PROXY
2020-02-12,61.6,HIGH_RISK,高风险,WARN_BREADTH_PROXY
2020-02-13,68.9,HIGH_RISK,高风险,WARN_BREADTH_PROXY
2020-02-14,59.8,CAUTION,警戒,WARN_BREADTH_PROXY
2020-02-17,61.0,HIGH_RISK,高风险,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
2020-02-18,60.2,HIGH_RISK,高风险,WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D
