window,horizon,symbol,name,sample_size,start_date,end_date,corr_temp_fwd_return,corr_delta_temp_fwd_return,corr_temp_fwd_excess,corr_delta_temp_fwd_excess,corr_temp_sync_return,corr_temp_sync_excess,avg_fwd_return,avg_fwd_excess,high_risk_sample,low_risk_sample,high_risk_avg_excess,low_risk_avg_excess,high_risk_win_rate,high_risk_max_drawdown,strength
1Y,10D,801170,交通运输,239,2025-07-21,2026-07-15,-0.1433,-0.0074,-0.0592,0.0045,-0.2159,0.1019,-0.0042,-0.0098,1,66,0.0362,-0.0056,1.0,-0.0081,很弱
1Y,10D,801170,交通运输,242,2025-07-21,2026-07-20,-0.0607,0.0146,0.011,0.02,-0.1849,0.1301,-0.0035,-0.0089,3,66,0.0489,-0.0056,1.0,-0.0081,很弱
1Y,10D,801760,传媒,239,2025-07-21,2026-07-15,-0.1866,0.0516,-0.1806,0.0625,-0.1559,0.017,-0.0045,-0.01,1,66,0.0192,0.0042,1.0,-0.0517,弱
1Y,10D,801760,传媒,242,2025-07-21,2026-07-20,-0.1573,0.0559,-0.1429,0.0668,-0.1198,0.056,-0.004,-0.0094,3,66,0.0516,0.0042,1.0,-0.0517,很弱
1Y,10D,801160,公用事业,239,2025-07-21,2026-07-15,-0.3298,-0.0552,-0.2462,-0.0399,-0.2059,0.0878,0.0022,-0.0033,1,66,-0.0496,0.0059,0.0,0.0,弱
1Y,10D,801160,公用事业,242,2025-07-21,2026-07-20,-0.2958,-0.0444,-0.2093,-0.0311,-0.1914,0.1026,0.0025,-0.0028,3,66,-0.001,0.0059,0.6667,-0.0033,弱
1Y,10D,801010,农林牧渔,239,2025-07-21,2026-07-15,-0.1214,-0.0421,-0.0772,-0.0319,-0.2026,0.0458,-0.0067,-0.0122,1,66,0.013,-0.0021,1.0,-0.0265,很弱
1Y,10D,801010,农林牧渔,242,2025-07-21,2026-07-20,-0.1024,-0.0373,-0.0523,-0.028,-0.175,0.072,-0.0065,-0.0118,3,66,0.0169,-0.0021,1.0,-0.0265,很弱
1Y,10D,801150,医药生物,239,2025-07-21,2026-07-15,0.1304,0.0885,0.1594,0.0903,-0.1527,0.0846,-0.0047,-0.0102,1,66,0.0886,-0.0075,1.0,-0.0589,很弱
1Y,10D,801150,医药生物,242,2025-07-21,2026-07-20,0.1129,0.0862,0.151,0.0879,-0.1506,0.0894,-0.0049,-0.0102,3,66,0.025,-0.0075,0.3333,-0.0589,很弱
1Y,10D,801200,商贸零售,239,2025-07-21,2026-07-15,-0.1922,0.0394,-0.169,0.0517,-0.1996,0.0325,-0.0103,-0.0158,1,66,0.0122,-0.0063,1.0,-0.0349,很弱
1Y,10D,801200,商贸零售,242,2025-07-21,2026-07-20,-0.1357,0.0507,-0.0985,0.0625,-0.1781,0.0568,-0.0096,-0.0149,3,66,0.0469,-0.0063,1.0,-0.0349,很弱
1Y,10D,801740,国防军工,239,2025-07-21,2026-07-15,-0.3069,-0.0421,-0.3451,-0.0456,-0.3261,-0.201,-0.0012,-0.0067,1,66,0.0046,0.0232,1.0,-0.0604,中
1Y,10D,801740,国防军工,242,2025-07-21,2026-07-20,-0.2853,-0.0407,-0.3135,-0.0443,-0.3132,-0.1839,-0.001,-0.0063,3,66,0.0287,0.0232,1.0,-0.0627,中
1Y,10D,801030,基础化工,239,2025-07-21,2026-07-15,-0.2134,0.0008,-0.2329,0.0084,-0.3693,-0.2138,0.0048,-0.0008,1,66,0.0464,0.0098,1.0,-0.0462,弱
1Y,10D,801030,基础化工,242,2025-07-21,2026-07-20,-0.1977,0.0001,-0.2053,0.0069,-0.3589,-0.1973,0.0049,-0.0004,3,66,0.0351,0.0098,1.0,-0.0462,弱
1Y,10D,801110,家用电器,239,2025-07-21,2026-07-15,-0.0335,0.0197,0.0208,0.0304,-0.2079,0.1411,-0.0001,-0.0056,1,66,0.0071,-0.0062,1.0,-0.0147,很弱
1Y,10D,801110,家用电器,242,2025-07-21,2026-07-20,0.0054,0.032,0.0685,0.0411,-0.1925,0.1557,0.0003,-0.005,3,66,0.0269,-0.0062,1.0,-0.0147,很弱
1Y,10D,801710,建筑材料,239,2025-07-21,2026-07-15,-0.0924,-0.02,-0.088,-0.0194,-0.306,-0.1887,0.0084,0.0028,1,66,0.0467,0.0032,1.0,-0.1009,很弱
1Y,10D,801710,建筑材料,242,2025-07-21,2026-07-20,-0.1123,-0.0288,-0.1077,-0.0307,-0.3108,-0.1944,0.0076,0.0023,3,66,-0.0065,0.0032,0.3333,-0.1037,很弱
1Y,10D,801720,建筑装饰,239,2025-07-21,2026-07-15,-0.3249,-0.0149,-0.3233,-0.0067,-0.3386,-0.0804,-0.0035,-0.009,1,66,0.0037,0.0033,1.0,-0.0365,中
1Y,10D,801720,建筑装饰,242,2025-07-21,2026-07-20,-0.297,-0.0139,-0.2801,-0.0065,-0.3146,-0.0504,-0.0033,-0.0086,3,66,0.0189,0.0033,1.0,-0.0393,弱
1Y,10D,801180,房地产,239,2025-07-21,2026-07-15,-0.1231,-0.0326,-0.1039,-0.0303,-0.2838,-0.0587,-0.0064,-0.012,1,66,-0.0163,-0.0121,0.0,-0.0534,很弱
1Y,10D,801180,房地产,242,2025-07-21,2026-07-20,-0.1056,-0.0321,-0.0739,-0.0302,-0.2657,-0.0361,-0.0063,-0.0116,3,66,0.0116,-0.0121,0.6667,-0.0534,很弱
1Y,10D,801050,有色金属,239,2025-07-21,2026-07-15,-0.1753,-0.058,-0.1895,-0.0658,-0.3082,-0.2413,0.0162,0.0107,1,66,0.0782,0.023,1.0,-0.0566,弱
1Y,10D,801050,有色金属,242,2025-07-21,2026-07-20,-0.1495,-0.0525,-0.1529,-0.0593,-0.2974,-0.2252,0.0168,0.0114,3,66,0.0807,0.023,1.0,-0.0566,很弱
1Y,10D,801890,机械设备,239,2025-07-21,2026-07-15,-0.2164,0.0108,-0.2636,0.0222,-0.3609,-0.27,0.0091,0.0036,1,66,0.0232,0.016,1.0,-0.105,弱
1Y,10D,801890,机械设备,242,2025-07-21,2026-07-20,-0.2283,-0.0007,-0.2727,0.0057,-0.3536,-0.2592,0.0084,0.0031,3,66,0.0032,0.016,0.6667,-0.1364,弱
1Y,10D,801880,汽车,239,2025-07-21,2026-07-15,-0.2001,0.015,-0.2205,0.0301,-0.3447,-0.125,-0.0047,-0.0102,1,66,0.0049,-0.0003,1.0,-0.051,弱
1Y,10D,801880,汽车,242,2025-07-21,2026-07-20,-0.1678,0.019,-0.1663,0.0342,-0.3162,-0.0863,-0.0044,-0.0097,3,66,0.0318,-0.0003,1.0,-0.051,很弱
1Y,10D,801950,煤炭,239,2025-07-21,2026-07-15,-0.1674,-0.0533,-0.1197,-0.0407,-0.1211,0.0571,0.0084,0.0029,1,66,-0.0458,0.0091,0.0,-0.0064,很弱
1Y,10D,801950,煤炭,242,2025-07-21,2026-07-20,-0.1563,-0.0435,-0.1058,-0.0328,-0.1242,0.0556,0.0085,0.0032,3,66,-0.0104,0.0091,0.3333,-0.0064,很弱
1Y,10D,801970,环保,239,2025-07-21,2026-07-15,-0.3078,-0.0226,-0.337,-0.0183,-0.3734,-0.1453,-0.0011,-0.0067,1,66,0.0164,0.0043,1.0,-0.0601,中
1Y,10D,801970,环保,242,2025-07-21,2026-07-20,-0.2694,-0.0219,-0.2771,-0.0181,-0.3422,-0.1076,-0.0008,-0.0062,3,66,0.0398,0.0043,1.0,-0.0667,弱
1Y,10D,801730,电力设备,239,2025-07-21,2026-07-15,-0.2515,-0.0003,-0.3058,0.0064,-0.3196,-0.2213,0.0094,0.0039,1,66,-0.0656,0.0143,0.0,-0.0407,中
1Y,10D,801730,电力设备,242,2025-07-21,2026-07-20,-0.2272,0.002,-0.2654,0.0089,-0.3086,-0.2016,0.0097,0.0044,3,66,0.0124,0.0143,0.6667,-0.0407,弱
1Y,10D,801080,电子,239,2025-07-21,2026-07-15,-0.0007,0.0011,0.0202,0.0057,-0.2746,-0.215,0.0293,0.0238,1,66,0.0126,0.0207,1.0,-0.136,很弱
1Y,10D,801080,电子,242,2025-07-21,2026-07-20,-0.0469,-0.0131,-0.0352,-0.0129,-0.2932,-0.2416,0.0274,0.022,3,66,-0.0568,0.0207,0.3333,-0.1925,很弱
1Y,10D,801960,石油石化,239,2025-07-21,2026-07-15,-0.2653,-0.0772,-0.2136,-0.0643,-0.183,0.0104,0.0052,-0.0003,1,66,0.0069,0.0131,1.0,0.0,弱
1Y,10D,801960,石油石化,242,2025-07-21,2026-07-20,-0.2274,-0.063,-0.1745,-0.0519,-0.1632,0.0292,0.0058,0.0005,3,66,0.0323,0.0131,1.0,-0.0041,很弱
1Y,10D,801210,社会服务,239,2025-07-21,2026-07-15,-0.2868,0.0702,-0.2871,0.0919,-0.2457,-0.0144,-0.0102,-0.0157,1,66,0.0254,-0.0041,1.0,-0.0567,弱
1Y,10D,801210,社会服务,242,2025-07-21,2026-07-20,-0.2149,0.0796,-0.1913,0.1,-0.2135,0.022,-0.0094,-0.0147,3,66,0.0604,-0.0041,1.0,-0.0567,弱
1Y,10D,801130,纺织服饰,239,2025-07-21,2026-07-15,-0.1632,0.015,-0.1197,0.0242,-0.2779,-0.013,-0.0044,-0.0099,1,66,0.0512,-0.0079,1.0,-0.0639,很弱
1Y,10D,801130,纺织服饰,242,2025-07-21,2026-07-20,-0.1357,0.0142,-0.0834,0.0225,-0.2543,0.012,-0.0042,-0.0095,3,66,0.0409,-0.0079,1.0,-0.0639,很弱
1Y,10D,801230,综合,239,2025-07-21,2026-07-15,-0.2269,-0.0015,-0.2474,0.0029,-0.2596,-0.1419,0.0127,0.0071,1,66,0.0293,0.0256,1.0,-0.1112,弱
1Y,10D,801230,综合,242,2025-07-21,2026-07-20,-0.2391,-0.0147,-0.2575,-0.0131,-0.2426,-0.123,0.0118,0.0065,3,66,0.0013,0.0256,0.6667,-0.1395,弱
1Y,10D,801980,美容护理,239,2025-07-21,2026-07-15,-0.0879,0.0505,-0.0442,0.0569,-0.1831,0.0439,-0.0136,-0.0191,1,66,0.0199,-0.0119,1.0,-0.0295,很弱
1Y,10D,801980,美容护理,242,2025-07-21,2026-07-20,-0.032,0.0649,0.0167,0.0695,-0.1606,0.0684,-0.0128,-0.0181,3,66,0.0444,-0.0119,1.0,-0.0295,很弱
1Y,10D,801750,计算机,239,2025-07-21,2026-07-15,-0.1961,0.0069,-0.2276,0.0161,-0.2421,-0.0994,-0.0044,-0.0099,1,66,-0.0177,0.0091,0.0,-0.0564,弱
1Y,10D,801750,计算机,242,2025-07-21,2026-07-20,-0.1719,0.0114,-0.1881,0.0215,-0.214,-0.0631,-0.0041,-0.0094,3,66,0.0289,0.0091,0.6667,-0.0623,弱
1Y,10D,801140,轻工制造,239,2025-07-21,2026-07-15,-0.3237,0.0113,-0.322,0.0223,-0.3823,-0.1139,-0.0041,-0.0096,1,66,0.0218,-0.0,1.0,-0.0595,中
1Y,10D,801140,轻工制造,242,2025-07-21,2026-07-20,-0.2894,0.011,-0.2729,0.0211,-0.3559,-0.0851,-0.0039,-0.0092,3,66,0.0334,-0.0,1.0,-0.0595,弱
1Y,10D,801770,通信,239,2025-07-21,2026-07-15,-0.1449,0.001,-0.1619,0.0059,-0.2371,-0.1677,0.0343,0.0288,1,66,0.0592,0.0397,1.0,-0.0984,很弱
1Y,10D,801770,通信,242,2025-07-21,2026-07-20,-0.1924,-0.0162,-0.2168,-0.0164,-0.2459,-0.1795,0.0321,0.0268,3,66,-0.0494,0.0397,0.3333,-0.1522,弱
1Y,10D,801040,钢铁,239,2025-07-21,2026-07-15,-0.1516,-0.0695,-0.1263,-0.0661,-0.3256,-0.1419,-0.005,-0.0105,1,66,0.0295,-0.0056,1.0,-0.0147,很弱
