sleeve,name,stage,entry_date,exit_date,ret
core,沪深300,CSI300_CORE_BUY,2020-02-04,2020-02-11,0.07449631888235553
core,沪深300,CSI300_CORE_BUY,2020-03-02,2020-03-09,0.023128872168908687
core,沪深300,CSI300_CORE_BUY,2020-03-17,2020-03-24,-0.03831413358378499
core,沪深300,CSI300_CORE_BUY,2020-07-17,2020-07-24,0.033470951856197306
core,沪深300,CSI300_CORE_BUY,2020-07-28,2020-08-04,0.04552689077726502
core,沪深300,CSI300_CORE_BUY,2021-03-01,2021-03-08,-0.01718939016073151
core,沪深300,CSI300_CORE_BUY,2021-03-10,2021-03-17,0.0025114127703822486
core,沪深300,CSI300_CORE_BUY,2021-07-28,2021-08-04,0.04464829738623943
core,沪深300,CSI300_CORE_BUY,2021-08-23,2021-08-30,0.01389626071865413
core,沪深300,CSI300_CORE_BUY,2022-01-26,2022-02-09,-0.019525681741420553
core,沪深300,CSI300_CORE_BUY,2022-03-08,2022-03-15,-0.054710943684751934
core,沪深300,CSI300_CORE_BUY,2022-03-21,2022-03-28,-0.03592839482634946
core,沪深300,CSI300_CORE_BUY,2022-03-30,2022-04-08,0.011656627797619556
core,沪深300,CSI300_CORE_BUY,2022-04-13,2022-04-20,-0.006341831894680183
core,沪深300,CSI300_CORE_BUY,2022-04-25,2022-05-05,0.01512935658652892
core,沪深300,CSI300_CORE_BUY,2022-05-09,2022-05-16,0.03312006894076047
core,沪深300,CSI300_CORE_BUY,2022-05-18,2022-05-25,-0.014351422437661632
core,沪深300,CSI300_CORE_BUY,2022-08-03,2022-08-10,0.007750808948927546
core,沪深300,CSI300_CORE_BUY,2022-10-11,2022-10-18,0.03523245729456059
core,沪深300,CSI300_CORE_BUY,2022-10-21,2022-10-28,-0.04019628898710936
core,沪深300,CSI300_CORE_BUY,2022-11-02,2022-11-09,0.03540059196680745
core,沪深300,CSI300_CORE_BUY,2022-11-11,2022-11-18,0.008915671063733921
core,沪深300,CSI300_CORE_BUY,2022-11-22,2022-11-29,-0.0004703201419228309
core,沪深300,CSI300_CORE_BUY,2022-12-01,2022-12-08,0.007531387452974547
core,沪深300,CSI300_CORE_BUY,2023-08-21,2023-08-28,0.03603754731500497
core,沪深300,CSI300_CORE_BUY,2023-10-24,2023-10-31,0.028078766656306264
core,沪深300,CSI300_CORE_BUY,2023-12-21,2023-12-28,0.014594348992101436
core,沪深300,CSI300_CORE_BUY,2024-01-09,2024-01-16,-0.004898504434797779
core,沪深300,CSI300_CORE_BUY,2024-01-18,2024-01-25,0.018072760777908536
core,沪深300,CSI300_CORE_BUY,2024-01-30,2024-02-06,-0.030621711401192075
core,沪深300,CSI300_CORE_BUY,2024-02-08,2024-02-23,0.04112837035577144
core,沪深300,CSI300_CORE_BUY,2024-08-06,2024-08-13,-0.012274989231045308
core,沪深300,CSI300_CORE_BUY,2024-09-25,2024-10-09,0.22406234263953495
core,沪深300,CSI300_CORE_BUY,2024-10-11,2024-10-18,-0.048292996234923
core,沪深300,CSI300_CORE_BUY,2024-10-22,2024-10-29,0.011183887018909378
core,沪深300,CSI300_CORE_BUY,2024-10-31,2024-11-07,0.024805006372200955
core,沪深300,CSI300_CORE_BUY,2024-11-15,2024-11-22,-0.010878703118396005
core,沪深300,CSI300_CORE_BUY,2024-11-26,2024-12-03,0.028172417032708674
core,沪深300,CSI300_CORE_BUY,2024-12-05,2024-12-12,0.017412565113783085
core,沪深300,CSI300_CORE_BUY,2024-12-16,2024-12-23,-0.0012690054585173804
core,沪深300,CSI300_CORE_BUY,2025-01-03,2025-01-10,-0.012709429388736537
core,沪深300,CSI300_CORE_BUY,2025-01-16,2025-01-23,0.003818079935484331
core,沪深300,CSI300_CORE_BUY,2025-02-06,2025-02-13,0.032179404759549834
core,沪深300,CSI300_CORE_BUY,2025-04-09,2025-04-16,0.04146246215162308
core,沪深300,CSI300_CORE_BUY,2025-11-24,2025-12-01,0.01415316255654786
core,沪深300,CSI300_CORE_BUY,2026-03-25,2026-04-01,0.0017612847008792176
