interval,lower,upper,sample_count,future_5d_avg_return,future_5d_median_return,future_5d_win_rate,future_5d_max_loss,future_5d_mae,future_10d_avg_return,future_10d_median_return,future_10d_win_rate,future_10d_max_loss,future_10d_mae,future_20d_avg_return,future_20d_median_return,future_20d_win_rate,future_20d_max_loss,future_20d_mae,future_60d_avg_return,future_60d_median_return,future_60d_win_rate,future_60d_max_loss,future_60d_mae,avg_return,median_return,max_loss,mae,year_distribution,quality_distribution,avg_model_confidence
0-20,0,20,58,-0.0015305132256077463,-0.0029051664495272737,0.4482758620689655,-0.04060608993152977,-0.04060608993152977,0.0011496488022232426,-0.004428666220681509,0.43103448275862066,-0.0442912407290615,-0.048532532658795605,0.0013551902147879691,-0.007528429346151343,0.43103448275862066,-0.06177505360761999,-0.0655268045128929,-0.029131555311835193,-0.05082365733521095,0.29310344827586204,-0.21697137252225257,-0.21697137252225257,0.0013551902147879691,-0.007528429346151343,-0.06177505360761999,-0.0655268045128929,"{2020: 7, 2021: 19, 2023: 5, 2024: 21, 2025: 5, 2026: 1}","{'WARN_BREADTH_PROXY': 43, 'WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D': 11, 'WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D|WARN_QVIX_MISSING': 2, 'WARN_BREADTH_PROXY|WARN_QVIX_MISSING': 2}",95.17241379310344
20-30,20,30,281,-0.0018462527221253288,-0.0023513116838536734,0.4234875444839858,-0.09620636719599225,-0.1194466803477446,-0.0013473748905737412,-0.0076573342584792085,0.39501779359430605,-0.07659736994561946,-0.1194466803477446,0.006791767921672148,-0.005024454038596703,0.44483985765124556,-0.0893355210267301,-0.140966405901715,0.011311981369090719,-0.02381203127422522,0.37722419928825623,-0.17756395524878227,-0.2116786889109144,0.006791767921672148,-0.005024454038596703,-0.0893355210267301,-0.140966405901715,"{2020: 45, 2021: 53, 2022: 11, 2023: 66, 2024: 64, 2025: 37, 2026: 5}","{'WARN_BREADTH_PROXY': 215, 'WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D': 54, 'WARN_BREADTH_PROXY|WARN_QVIX_MISSING': 8, 'WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D|WARN_QVIX_MISSING': 4}",95.48754448398577
30-40,30,40,415,0.00012829316007204847,-0.0008943519426180652,0.4819277108433735,-0.11287713712133736,-0.11287713712133736,0.0025204118432991646,-0.0033462006441045793,0.46265060240963857,-0.13824441998871778,-0.13824441998871778,0.0022467388525588407,-0.0035140134594375365,0.4746987951807229,-0.13457330451079036,-0.14409390140599182,0.012008912139020462,-0.007188048360284704,0.4585365853658537,-0.20970005558194255,-0.21005746351690863,0.0022467388525588407,-0.0035140134594375365,-0.13457330451079036,-0.14409390140599182,"{2019: 3, 2020: 68, 2021: 63, 2022: 58, 2023: 93, 2024: 40, 2025: 70, 2026: 20}","{'WARN_BREADTH_PROXY': 323, 'WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D': 74, 'WARN_BREADTH_PROXY|WARN_QVIX_MISSING': 14, 'WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D|WARN_QVIX_MISSING': 3, 'BAD_NO_TERM': 1}",95.38795180722892
40-50,40,50,361,-0.0005607495329956717,0.0012474867809135098,0.5069252077562327,-0.08287870041027375,-0.10412917099809467,-0.002982803981939317,-0.00319975222244857,0.45429362880886426,-0.11465378334136007,-0.13050627486430894,-0.005903276350563269,-0.009592336263281442,0.4083333333333333,-0.12231060617774377,-0.14467033122642475,-0.007345933275828229,-0.006621640557754448,0.46865671641791046,-0.16387995356154067,-0.19757150718617672,-0.005903276350563269,-0.009592336263281442,-0.12231060617774377,-0.14467033122642475,"{2019: 4, 2020: 43, 2021: 75, 2022: 56, 2023: 50, 2024: 24, 2025: 67, 2026: 42}","{'WARN_BREADTH_PROXY': 242, 'WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D': 75, 'WARN_BREADTH_PROXY|WARN_QVIX_MISSING': 32, 'WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D|WARN_QVIX_MISSING': 11, 'LOW_NO_CHAIN': 1}",94.43213296398892
50-60,50,60,222,-0.0006986172409201649,-0.0005080935950188099,0.5,-0.07137704439372446,-0.07137704439372446,0.00016602324109434615,0.005714226626951136,0.5565610859728507,-0.1474201510676359,-0.1474201510676359,0.004843691559483952,0.00881124986403108,0.5581395348837209,-0.11284741336788125,-0.1613946799469897,0.019242559634712178,0.017036427462841553,0.6310679611650486,-0.14456903332715604,-0.18150459984107808,0.004843691559483952,0.00881124986403108,-0.11284741336788125,-0.1613946799469897,"{2020: 33, 2021: 24, 2022: 36, 2023: 22, 2024: 27, 2025: 48, 2026: 32}","{'WARN_BREADTH_PROXY': 161, 'WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D': 30, 'WARN_BREADTH_PROXY|WARN_QVIX_MISSING': 23, 'WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D|WARN_QVIX_MISSING': 7, 'LOW_NO_CHAIN': 1}",94.15315315315316
60-65,60,65,86,0.0032403732731268267,0.0034128740431799594,0.5238095238095238,-0.08543441687372517,-0.08543441687372517,0.004122567358467019,0.00548834992355134,0.5802469135802469,-0.11786040332902654,-0.13335657139156704,-0.0004997397804483107,0.0104419725968538,0.5569620253164557,-0.13464321130631834,-0.14756145252382064,0.02875802387179663,0.025269245519843598,0.6538461538461539,-0.1624792202803877,-0.19175963809389046,-0.0004997397804483107,0.0104419725968538,-0.13464321130631834,-0.14756145252382064,"{2020: 11, 2021: 5, 2022: 25, 2023: 4, 2024: 21, 2025: 9, 2026: 11}","{'WARN_BREADTH_PROXY': 59, 'WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D': 16, 'WARN_BREADTH_PROXY|WARN_QVIX_MISSING': 11}",94.46511627906976
65-70,65,70,64,0.0072895746328482565,0.00957907205531965,0.6507936507936508,-0.04445149752805151,-0.0725861946773196,0.010701999722814465,0.015506787796135391,0.6984126984126984,-0.08459362502967079,-0.08650328322789598,0.01048745866702122,0.021613871761348703,0.6349206349206349,-0.09779593696386886,-0.13636177098154262,0.03181197774737163,0.03692855963517132,0.6984126984126984,-0.14411220876064795,-0.17143500227443437,0.01048745866702122,0.021613871761348703,-0.09779593696386886,-0.13636177098154262,"{2020: 12, 2021: 3, 2022: 23, 2023: 1, 2024: 20, 2025: 3, 2026: 2}","{'WARN_BREADTH_PROXY': 58, 'WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D': 5, 'WARN_BREADTH_PROXY|WARN_QVIX_MISSING': 1}",95.8125
70-75,70,75,50,0.008114163615666472,0.009740451170922305,0.625,-0.09460657316000383,-0.09460657316000383,0.016416490198547108,0.017204483667639648,0.723404255319149,-0.11268597576328794,-0.13590792616316721,0.022472155835332252,0.031058545141161617,0.717391304347826,-0.12019686612089671,-0.13590792616316721,0.034473866829319556,0.04438891293030116,0.5869565217391305,-0.07606469816470292,-0.14981930164911822,0.022472155835332252,0.031058545141161617,-0.12019686612089671,-0.13590792616316721,"{2020: 7, 2022: 18, 2023: 1, 2024: 17, 2025: 3, 2026: 4}","{'WARN_BREADTH_PROXY': 40, 'WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D': 6, 'WARN_BREADTH_PROXY|WARN_QVIX_MISSING': 4}",95.04
75-80,75,80,13,-0.0018667713453659229,0.0219302439646049,0.6153846153846154,-0.09795110138468373,-0.09795110138468373,0.006019073762711175,-0.006341088110169268,0.46153846153846156,-0.0765380393696898,-0.12425192485705967,0.008935512786349091,0.0363972094568296,0.6153846153846154,-0.14639154910220303,-0.14639154910220303,0.03766566611271714,0.021874310355257377,0.6923076923076923,-0.07531256441395369,-0.14639154910220303,0.008935512786349091,0.0363972094568296,-0.14639154910220303,-0.14639154910220303,"{2020: 7, 2022: 2, 2024: 4}",{'WARN_BREADTH_PROXY': 13},96.0
80-85,80,85,18,0.009661960175470916,0.009456924440533188,0.6666666666666666,-0.0679715385502558,-0.07921242472684482,0.011062982609880189,0.007895375974191477,0.6111111111111112,-0.11739045956189094,-0.11739045956189094,0.024351385654088103,0.019850090088632078,0.6666666666666666,-0.08665345180413027,-0.13384502855992425,0.062232200410468064,0.04537230234031213,0.7777777777777778,-0.049763825814537824,-0.13384502855992425,0.024351385654088103,0.019850090088632078,-0.08665345180413027,-0.13384502855992425,"{2020: 5, 2022: 8, 2024: 4, 2026: 1}","{'WARN_BREADTH_PROXY': 15, 'WARN_BREADTH_PROXY|WARN_NOT_BRACKET_30D': 2, 'WARN_BREADTH_PROXY|WARN_QVIX_MISSING': 1}",95.33333333333333
