condition,entry_threshold,upper_bound,exhaustion_rule,price_confirm_rule,sample_count,5d_forward_win_rate,5d_avg_return,5d_median_return,5d_max_loss,10d_forward_win_rate,10d_avg_return,10d_median_return,10d_max_loss,20d_forward_win_rate,20d_avg_return,20d_median_return,20d_max_loss,60d_forward_win_rate,60d_avg_return,60d_median_return,60d_max_loss,max_loss
none,65,,none,none,155,0.6535947712418301,0.008523118129162604,0.01160619809057455,-0.09795110138468373,0.6776315789473685,0.013786041051775555,0.015430600724711963,-0.11739045956189094,0.6754966887417219,0.017871708125830214,0.028207113894412373,-0.14639154910220303,0.6887417218543046,0.03955351209946175,0.041402909846688304,-0.14411220876064795,-0.14639154910220303
none,70,,none,none,91,0.6555555555555556,0.009386598576582646,0.013418108350391745,-0.09795110138468373,0.6629213483146067,0.01596912648688284,0.015354413653288535,-0.11739045956189094,0.7045454545454546,0.023158159442932112,0.03383618243901314,-0.14639154910220303,0.6818181818181818,0.04509574691970808,0.04881684194202278,-0.07606469816470292,-0.14639154910220303
none,75,,none,none,42,0.6904761904761905,0.010840809960486844,0.02072414815819106,-0.09795110138468373,0.5952380952380952,0.015468505190496624,0.013312712343703282,-0.11739045956189094,0.6904761904761905,0.023909496727446224,0.03767089853370513,-0.14639154910220303,0.7857142857142857,0.056729234637752673,0.0602219899361434,-0.07531256441395369,-0.14639154910220303
none,60,75.0,none,none,199,0.5897435897435898,0.005748279027508125,0.007345258804952671,-0.09460657316000383,0.6544502617801047,0.009317952763899765,0.012583529824382978,-0.11786040332902654,0.6223404255319149,0.0088029235201713,0.015309781359148667,-0.13464321130631834,0.6524064171122995,0.031192932268627,0.03086395642515909,-0.1624792202803877,-0.13464321130631834
none,75,90.0,none,none,40,0.675,0.008166176515435162,0.017828542950119087,-0.09795110138468373,0.575,0.012691415545871557,0.010673274547135781,-0.11739045956189094,0.675,0.02124668266428801,0.036580143893262404,-0.14639154910220303,0.775,0.05665834064571153,0.0602219899361434,-0.07531256441395369,-0.14639154910220303
not_3d_low,65,,none,not_3d_low,72,0.6338028169014085,0.005737324308887035,0.006759224963832789,-0.09795110138468373,0.6619718309859155,0.010062918782864338,0.012254596876227698,-0.11268597576328794,0.676056338028169,0.016685737104839123,0.028911055781531903,-0.12019686612089671,0.676056338028169,0.035969178001361686,0.022012648791012324,-0.07606469816470292,-0.12019686612089671
not_3d_low,70,,none,not_3d_low,35,0.6,0.005137027928555458,0.0051157654988386765,-0.09795110138468373,0.6857142857142857,0.015752946398355325,0.01508731792995326,-0.11268597576328794,0.7428571428571429,0.02567535323296081,0.03400699035703607,-0.12019686612089671,0.7142857142857143,0.04086272856683441,0.022012648791012324,-0.07606469816470292,-0.12019686612089671
not_3d_low,75,,none,not_3d_low,10,0.8,0.010525500996214118,0.025154252487699248,-0.09795110138468373,0.6,0.021791027842212575,0.021322015089180014,-0.0765380393696898,0.7,0.03037338437627516,0.021828508885720674,-0.05908880543755397,0.8,0.02116947049309989,0.01856862126601726,-0.05628654465919654,-0.05908880543755397
not_3d_low,60,75.0,none,not_3d_low,118,0.5739130434782609,0.00614168746089708,0.004358550280944829,-0.09460657316000383,0.625,0.006901984589316865,0.008827888717853272,-0.11786040332902654,0.6486486486486487,0.008180480969846946,0.016066330531459606,-0.13464321130631834,0.6576576576576577,0.03716331799507439,0.03712350362706911,-0.07606469816470292,-0.13464321130631834
not_3d_low,75,90.0,none,not_3d_low,10,0.8,0.010525500996214118,0.025154252487699248,-0.09795110138468373,0.6,0.021791027842212575,0.021322015089180014,-0.0765380393696898,0.7,0.03037338437627516,0.021828508885720674,-0.05908880543755397,0.8,0.02116947049309989,0.01856862126601726,-0.05628654465919654,-0.05908880543755397
not_5d_low,65,,none,not_5d_low,88,0.6091954022988506,0.004745085696048953,0.0051157654988386765,-0.09795110138468373,0.6744186046511628,0.009769593558156134,0.013337877057254578,-0.11268597576328794,0.6627906976744186,0.01302867262995479,0.028559084837972138,-0.14639154910220303,0.6744186046511628,0.03408858085134115,0.02168313088008893,-0.07606469816470292,-0.14639154910220303
