strategy_id,trade_count,exposure_ratio,avg_holding_days,win_rate,avg_trade_return,median_trade_return,total_return,annualized_return,max_drawdown,max_single_loss,profit_factor,sharpe,calmar,max_consecutive_losses,entry_threshold,upper_bound,exhaustion_rule,price_confirm_rule,exit_rule,5d_forward_win_rate,10d_forward_win_rate,20d_forward_win_rate,60d_forward_win_rate,yearly_stability_score,overfit_warning,sample_warning,quality_warning,defense_warning,score
s017728,48,0.1519949335022166,5.0,0.6666666666666666,0.015630424149756256,0.014029010340703108,1.0375315521234585,0.12029244891896695,-0.08719956332143966,-0.05472727186631191,3.9018720248293537,,1.3795074692695253,3,60,75,none,drawdown_60d_below_5pct,fixed_5d,0.6181818181818182,0.703030303030303,0.6748466257668712,0.7037037037037037,0.875,zero_trade_year,,,,0.49533078524324814
s018413,23,0.14566181127295758,10.0,0.782608695652174,0.01823919839518436,0.015103577306570826,0.5029367272206606,0.06718274347783604,-0.0687245077630381,-0.031035668113374805,5.622338749726593,,0.9775660192355534,1,60,75,below_3d_high_3,drawdown_60d_below_5pct,fixed_10d,0.5866666666666667,0.7066666666666667,0.7466666666666667,0.7333333333333333,0.875,zero_trade_year,trade_count_20_30,,,0.48405394112710526
s020236,49,0.1551614946168461,5.0,0.6938775510204082,0.014149859215846956,0.014157499806489693,0.9227569132858366,0.10997403798502847,-0.08719956332143966,-0.05472727186631191,3.1856001508369713,,1.2611764760751878,3,60,80,none,drawdown_60d_below_5pct,fixed_5d,0.6285714285714286,0.6971428571428572,0.6820809248554913,0.7093023255813954,0.875,zero_trade_year,,,,0.47477345867218446
s015220,52,0.16466117796073465,5.0,0.6923076923076923,0.01518056012546299,0.016008349557809574,1.0979176006904239,0.12552649040558572,-0.09380602956629872,-0.08213466739593503,3.0045679616170426,,1.3381494876815794,4,60,None,none,drawdown_60d_below_5pct,fixed_5d,0.6435643564356436,0.698019801980198,0.695,0.7286432160804021,0.875,zero_trade_year,,max_single_loss_gt_8pct,,0.46718194260258644
s027760,52,0.16466117796073465,5.0,0.6923076923076923,0.01518056012546299,0.016008349557809574,1.0979176006904239,0.12552649040558572,-0.09380602956629872,-0.08213466739593503,3.0045679616170426,,1.3381494876815794,4,60,100,none,drawdown_60d_below_5pct,fixed_5d,0.6435643564356436,0.698019801980198,0.695,0.7286432160804021,0.875,zero_trade_year,,max_single_loss_gt_8pct,,0.46718194260258644
s025252,52,0.16466117796073465,5.0,0.6923076923076923,0.0149739141912495,0.016008349557809574,1.0778822632294038,0.12380409866675124,-0.09380602956629872,-0.08213466739593503,2.9772807063577345,,1.3197882826844405,4,60,90,none,drawdown_60d_below_5pct,fixed_5d,0.64,0.695,0.6919191919191919,0.7258883248730964,0.875,zero_trade_year,,max_single_loss_gt_8pct,,0.4641038262444022
s017729,34,0.21532615579480685,10.0,0.7058823529411765,0.0177427773735352,0.014254392978362361,0.7799230273420819,0.09638403489095504,-0.0965856427806169,-0.05126467534202787,3.61014912709042,,0.9979126515716233,2,60,75,none,drawdown_60d_below_5pct,fixed_10d,0.6181818181818182,0.703030303030303,0.6748466257668712,0.7037037037037037,0.875,zero_trade_year,,,,0.45627485784483884
s011572,42,0.13299556681443953,5.0,0.6904761904761905,0.01153395118722554,0.014488002730007799,0.6010982998994754,0.07801306606990055,-0.0716011516021228,-0.04830739845445934,3.2312887281339835,,1.0895504377277034,4,55,90,below_10d_high_5,drawdown_60d_below_5pct,fixed_5d,0.6363636363636364,0.703030303030303,0.6890243902439024,0.7222222222222222,0.875,zero_trade_year,,,,0.4540007314496882
s001540,42,0.13299556681443953,5.0,0.6904761904761905,0.01153395118722554,0.014488002730007799,0.6010982998994754,0.07801306606990055,-0.0716011516021228,-0.04830739845445934,3.2312887281339835,,1.0895504377277034,4,55,None,below_10d_high_5,drawdown_60d_below_5pct,fixed_5d,0.6363636363636364,0.703030303030303,0.6890243902439024,0.7222222222222222,0.875,zero_trade_year,,,,0.4540007314496882
s014080,42,0.13299556681443953,5.0,0.6904761904761905,0.01153395118722554,0.014488002730007799,0.6010982998994754,0.07801306606990055,-0.0716011516021228,-0.04830739845445934,3.2312887281339835,,1.0895504377277034,4,55,100,below_10d_high_5,drawdown_60d_below_5pct,fixed_5d,0.6363636363636364,0.703030303030303,0.6890243902439024,0.7222222222222222,0.875,zero_trade_year,,,,0.4540007314496882
s009064,42,0.13299556681443953,5.0,0.6904761904761905,0.011220899618921878,0.014488002730007799,0.5809584668062948,0.07583742344164168,-0.0716011516021228,-0.04830739845445934,3.1707276572275744,,1.0591648562171072,4,55,85,below_10d_high_5,drawdown_60d_below_5pct,fixed_5d,0.6341463414634146,0.7012195121951219,0.6871165644171779,0.7204968944099379,0.875,zero_trade_year,,,,0.449358142877227
s003593,25,0.15832805573147563,10.0,0.72,0.015593143361866579,0.01576153341680194,0.46084972777324573,0.06235623014964986,-0.0687245077630381,-0.02464808730695104,4.783949606894063,,0.9073361480398515,2,55,75,below_3d_high_5,drawdown_60d_below_5pct,fixed_10d,0.5909090909090909,0.7045454545454546,0.7045454545454546,0.7241379310344828,0.875,zero_trade_year,trade_count_20_30,,,0.4491497002233262
s006101,25,0.15832805573147563,10.0,0.72,0.014478966032417422,0.014408751813465426,0.4228308239083418,0.05789471221747622,-0.0687245077630381,-0.02464808730695104,4.989411388548626,,0.842417270082123,2,55,80,below_3d_high_5,drawdown_60d_below_5pct,fixed_10d,0.5934065934065934,0.6923076923076923,0.7032967032967034,0.7222222222222222,0.875,zero_trade_year,trade_count_20_30,,,0.4439273210125955
s011117,25,0.15832805573147563,10.0,0.72,0.014461378838588532,0.014408751813465426,0.4222435216188034,0.05782501031603515,-0.0687245077630381,-0.02464808730695104,4.9845655624588,,0.8414030481733769,2,55,90,below_3d_high_5,drawdown_60d_below_5pct,fixed_10d,0.6105263157894737,0.6947368421052632,0.7052631578947368,0.7340425531914894,0.875,zero_trade_year,trade_count_20_30,,,0.4437246910915769
s013625,25,0.15832805573147563,10.0,0.72,0.014461378838588532,0.014408751813465426,0.4222435216188034,0.05782501031603515,-0.0687245077630381,-0.02464808730695104,4.9845655624588,,0.8414030481733769,2,55,100,below_3d_high_5,drawdown_60d_below_5pct,fixed_10d,0.6105263157894737,0.6947368421052632,0.7052631578947368,0.7340425531914894,0.875,zero_trade_year,trade_count_20_30,,,0.4437246910915769
s001085,25,0.15832805573147563,10.0,0.72,0.014461378838588532,0.014408751813465426,0.4222435216188034,0.05782501031603515,-0.0687245077630381,-0.02464808730695104,4.9845655624588,,0.8414030481733769,2,55,None,below_3d_high_5,drawdown_60d_below_5pct,fixed_10d,0.6105263157894737,0.6947368421052632,0.7052631578947368,0.7340425531914894,0.875,zero_trade_year,trade_count_20_30,,,0.4437246910915769
s008609,25,0.15832805573147563,10.0,0.72,0.014149097339159556,0.014408751813465426,0.4118152724404709,0.056583324479788644,-0.0687245077630381,-0.02464808730695104,4.8985221690655365,,0.8233354638913934,2,55,85,below_3d_high_5,drawdown_60d_below_5pct,fixed_10d,0.6063829787234043,0.6914893617021277,0.7021276595744681,0.7311827956989247,0.875,zero_trade_year,trade_count_20_30,,,0.4401203737584645
s022744,50,0.15832805573147563,5.0,0.68,0.014159155922436162,0.014378159222091258,0.9386883894094658,0.11143673985444935,-0.09380602956629872,-0.08213466739593503,2.797781941248344,,1.187948582512917,4,60,85,none,drawdown_60d_below_5pct,fixed_5d,0.6335078534031413,0.6963350785340314,0.6878306878306878,0.7180851063829787,0.875,zero_trade_year,,max_single_loss_gt_8pct,,0.4399316504445698
s017615,31,0.19126029132362254,9.741935483870968,0.7419354838709677,0.0176319630728093,0.01576153341680194,0.6774264799124867,0.08605521834007868,-0.09588834176721697,-0.05516561625062991,2.939479017332558,,0.8974523571279431,3,60,75,none,not_10d_low,fixed_10d,0.5833333333333334,0.6513157894736842,0.64,0.6711409395973155,0.875,zero_trade_year,,,,0.4392388030418038
s003365,28,0.1773274224192527,10.0,0.6785714285714286,0.014528994975187346,0.013120623876903792,0.484901847313169,0.06512860227711226,-0.0687245077630381,-0.02464808730695104,4.432354053284736,,0.9476765188580978,2,55,75,below_3d_high_3,drawdown_60d_below_5pct,fixed_10d,0.5963302752293578,0.6880733944954128,0.6880733944954128,0.6944444444444444,0.875,zero_trade_year,trade_count_20_30,,,0.4366831015773463
