threshold,take_profit_target,trade_count_total,trade_count_closed,open_trade_count,total_buy_amount_all_trades,total_buy_amount_closed_trades,max_capital_single_trade,avg_buy_amount_per_trade,avg_add_count,max_add_count,avg_holding_days_closed,median_holding_days_closed,max_holding_days,total_holding_days,exposure_ratio,win_rate_closed,total_profit_closed,total_profit_including_open,avg_profit_per_closed_trade,median_profit_per_closed_trade,avg_return_closed,median_return_closed,best_trade_return,worst_trade_return,worst_position_drawdown,profit_factor,equity_max_drawdown_proxy,annualized_profit_on_max_capital
65,0.1,5,4,1,82000.0,70000.0,32000.0,16400.0,3.2,11,331.5,104.5,1106,1422,0.9005699810006333,1.0,7722.461144006067,8226.147533262923,1930.6152860015168,1684.4023214250174,0.11354664353860594,0.11240641151902712,0.13002292299499846,0.09935082812137103,-0.24977193226965308,99.0,-0.9998777935928774,0.03718704184353072
65,0.125,5,4,1,82000.0,70000.0,32000.0,16400.0,3.2,11,333.75,105.0,1111,1431,0.9062697910069665,1.0,10147.923326246928,10651.609715503784,2536.980831561732,2362.644604521467,0.14846717639423823,0.13977265377820017,0.18714785825795957,0.12717553976259297,-0.24977193226965308,99.0,-0.9998777935928774,0.04692385025742607
65,0.15,5,4,1,80000.0,68000.0,32000.0,16000.0,3.0,11,349.0,100.0,1172,1492,0.9449018366054465,1.0,11288.58677012658,11792.273159383436,2822.146692531645,2448.3532333804615,0.16720284819913792,0.15430152951735746,0.21850181663410512,0.1417065171277316,-0.24977193226965308,99.0,-0.9998777935928774,0.051342880041787886
70,0.1,7,6,1,94000.0,84000.0,24000.0,13428.57142857143,1.7142857142857142,7,174.66666666666666,83.5,625,1064,0.6738442051931602,1.0,9081.045260275741,9220.096951446354,1513.5075433792902,1287.2881549462354,0.10966800322329644,0.108094903999306,0.13002292299499846,0.09434183760321563,-0.18050354206823266,99.0,-0.9995400129856318,0.053254001234053217
70,0.125,6,5,1,80000.0,70000.0,24000.0,13333.333333333334,1.6666666666666667,7,223.4,90.0,840,1123,0.7112096263457884,1.0,9986.875607252134,9801.227887305075,1997.3751214504268,1353.016844801019,0.1421527466294332,0.1314427712379218,0.18714785825795957,0.12545365187376548,-0.18050354206823266,99.0,-0.9995340612168159,0.05617313861233297
70,0.15,5,4,1,68000.0,58000.0,24000.0,13600.0,1.8,7,264.75,96.5,842,1126,0.7131095630145662,1.0,10046.694189001624,10832.76684840783,2511.673547250406,2286.4924929293147,0.1701577809302556,0.16021139497959286,0.21850181663410512,0.1417065171277316,-0.18050354206823266,99.0,-0.9238643663954554,0.06125244952372899
75,0.1,5,5,0,76000.0,76000.0,26000.0,15200.0,2.6,8,193.4,88.0,624,967,0.6124129195693477,1.0,7919.38614382826,7919.38614382826,1583.877228765652,1400.1463086203112,0.10799438251079355,0.11283771620157368,0.12944801127564823,0.08393357176073424,-0.18782102289569713,99.0,-0.9998268526905445,0.043347879220196894
75,0.125,4,4,0,62000.0,62000.0,26000.0,15500.0,2.75,8,250.5,74.5,840,1002,0.6345788473717543,1.0,9664.043646758419,9664.043646758419,2416.0109116896047,2247.270957054742,0.15248796413330898,0.13990688946572727,0.19869530636385957,0.1314427712379218,-0.18782102289569713,99.0,-0.9995397179076169,0.051733057083409806
75,0.15,4,3,1,60000.0,50000.0,26000.0,15000.0,2.5,8,314.3333333333333,79.0,841,1010,0.6396453451551615,1.0,8543.892920732558,9329.965580138763,2847.964306910853,3059.0254328774718,0.1714451265351542,0.15790824113384447,0.21850181663410512,0.137925321837513,-0.18782102289569713,99.0,-0.9998268526905445,0.050154510955529474
80,0.1,5,5,0,76000.0,76000.0,26000.0,15200.0,2.6,8,193.0,86.0,624,965,0.6111462951234958,1.0,7871.61343645787,7871.61343645787,1574.322687291574,1400.1463086203112,0.10739722366866367,0.11283771620157368,0.12646221706499886,0.08393357176073424,-0.18782102289569713,99.0,-0.9998268526905445,0.04311322055845812
80,0.125,4,4,0,62000.0,62000.0,26000.0,15500.0,2.75,8,250.0,73.5,840,1000,0.6333122229259025,1.0,9613.341959274367,9613.341959274367,2403.3354898185917,2221.9201133127162,0.15169575026637067,0.13990688946572727,0.19552645089610632,0.1314427712379218,-0.18782102289569713,99.0,-0.9995381793159649,0.05149428950526347
80,0.15,4,3,1,60000.0,50000.0,26000.0,15000.0,2.5,8,314.3333333333333,79.0,841,1010,0.6396453451551615,1.0,8543.892920732558,9329.965580138763,2847.964306910853,3059.0254328774718,0.1714451265351542,0.15790824113384447,0.21850181663410512,0.137925321837513,-0.18782102289569713,99.0,-0.9998268526905445,0.050154510955529474
85,0.1,5,5,0,60000.0,60000.0,14000.0,12000.0,1.0,2,49.4,53.0,83,247,0.1564281190626979,1.0,6348.093323734511,6348.093323734511,1269.6186647469021,1164.515712855462,0.10556243545114533,0.09855527059885805,0.12041612915980866,0.09704297607128849,-0.09110442518791556,99.0,-0.9994659985513131,0.061493862466787785
85,0.125,4,4,0,58000.0,58000.0,24000.0,14500.0,2.25,7,197.0,77.0,621,788,0.4990500316656111,1.0,7342.498218977087,7342.498218977087,1835.6245547442718,1703.5119301392924,0.13025340619214032,0.13099371014451233,0.14940048914220383,0.10962571533733277,-0.1677827810879619,99.0,-0.9998105290366398,0.043519558231254196
85,0.15,3,3,0,46000.0,46000.0,24000.0,15333.333333333334,2.6666666666666665,7,310.6666666666667,72.0,837,932,0.5902469917669411,1.0,7621.58089573781,7621.58089573781,2540.526965245937,2030.5864677311893,0.16087669262769697,0.1692155389775991,0.1754892170679788,0.137925321837513,-0.1677827810879619,99.0,-0.9998105290366398,0.04499696172300216
90,0.1,2,2,0,22000.0,22000.0,12000.0,11000.0,0.5,1,39.0,39.0,68,78,0.04939835338822039,1.0,2414.845528077234,2414.845528077234,1207.422764038617,1207.422764038617,0.110097077228241,0.110097077228241,0.113742162700275,0.10645199175620701,-0.059048676250148674,99.0,-0.7323933871318624,0.029694337246236824
90,0.125,2,2,0,32000.0,32000.0,22000.0,16000.0,3.0,6,316.5,316.5,620,633,0.40088663711209627,1.0,4070.9216410822573,4070.9216410822573,2035.4608205411287,2035.4608205411287,0.12839595581426216,0.12839595581426216,0.13154170122877312,0.12525021039975118,-0.1561063335082854,99.0,-0.9997861543758114,0.027466111979438157
90,0.15,2,2,0,32000.0,32000.0,22000.0,16000.0,3.0,6,428.5,428.5,834,857,0.5427485750474984,1.0,4820.782362179269,4820.782362179269,2410.3911810896343,2410.3911810896343,0.14717923236885055,0.14717923236885055,0.15643314290018812,0.137925321837513,-0.1561063335082854,99.0,-0.9997861543758114,0.032126489927928326
95,0.1,0,0,0,0.0,0.0,0.0,,,0,,,0,0,0.0,,0.0,0.0,,,,,,,,,0.0,
95,0.125,0,0,0,0.0,0.0,0.0,,,0,,,0,0,0.0,,0.0,0.0,,,,,,,,,0.0,
95,0.15,0,0,0,0.0,0.0,0.0,,,0,,,0,0,0.0,,0.0,0.0,,,,,,,,,0.0,
