threshold,take_profit_target,trade_no,take_profit,entry_signal_date,entry_date,exit_signal_date,exit_date,holding_days,add_count,buy_count,invested_amount,avg_cost,exit_value,profit_amount,return_rate,max_drawdown_on_position,max_capital_at_risk,status
65,0.1,1,0.1,2020-01-23,2020-02-03,2020-02-17,2020-02-18,11,0,1,10000.0,3641.0009727,11174.43000127216,1174.4300012721596,0.11744300012721597,0.0,10000.0,closed
65,0.1,2,0.1,2020-02-19,2020-02-20,2020-07-03,2020-07-06,91,3,4,16000.0,3950.7767203230087,18080.366767919975,2080.3667679199752,0.13002292299499846,-0.10642735595764873,16000.0,closed
65,0.1,3,0.1,2020-07-10,2020-07-13,2020-12-31,2021-01-04,118,1,2,12000.0,4706.076518322824,13288.43787493006,1288.4378749300595,0.10736982291083828,-0.0479665816232824,12000.0,closed
65,0.1,4,0.1,2021-03-08,2021-03-09,2025-09-24,2025-09-25,1106,11,12,32000.0,4150.280045630962,35179.22649988387,3179.2264998838727,0.09935082812137103,-0.24977193226965308,32000.0,closed
65,0.1,5,0.1,2026-02-02,2026-02-03,,,96,1,2,12000.0,4617.056597324907,12503.686389256856,503.6863892568563,0.04197386577140469,-0.04984234248779085,12000.0,open
65,0.125,1,0.125,2020-01-23,2020-02-03,2020-02-20,2020-02-21,14,0,1,10000.0,3641.0009727,11353.016844801019,1353.016844801019,0.1353016844801019,0.0,10000.0,closed
65,0.125,2,0.125,2020-02-21,2020-02-24,2020-07-06,2020-07-07,90,3,4,16000.0,3991.2367141468762,18994.365732127353,2994.365732127353,0.18714785825795957,-0.11548568705862874,16000.0,closed
65,0.125,3,0.125,2020-07-10,2020-07-13,2021-01-05,2021-01-06,120,1,2,12000.0,4706.076518322824,13730.923476915581,1730.923476915581,0.14424362307629843,-0.0479665816232824,12000.0,closed
65,0.125,4,0.125,2021-03-08,2021-03-09,2025-10-09,2025-10-10,1111,11,12,32000.0,4150.280045630962,36069.617272402975,4069.617272402975,0.12717553976259297,-0.24977193226965308,32000.0,closed
65,0.125,5,0.125,2026-02-02,2026-02-03,,,96,1,2,12000.0,4617.056597324907,12503.686389256856,503.6863892568563,0.04197386577140469,-0.04984234248779085,12000.0,open
65,0.15,1,0.15,2020-01-23,2020-02-03,2020-03-05,2020-03-06,24,0,1,10000.0,3641.0009727,11417.065171277316,1417.065171277316,0.1417065171277316,0.0,10000.0,closed
65,0.15,2,0.15,2020-03-09,2020-03-10,2020-07-06,2020-07-07,79,2,3,14000.0,3888.5359482584954,17059.02543287747,3059.0254328774718,0.21850181663410512,-0.09212463328747955,14000.0,closed
65,0.15,3,0.15,2020-07-10,2020-07-13,2021-01-06,2021-01-07,121,1,2,12000.0,4706.076518322824,13837.681033883451,1837.6810338834512,0.15314008615695426,-0.0479665816232824,12000.0,closed
65,0.15,4,0.15,2021-03-08,2021-03-09,2026-01-06,2026-01-07,1172,11,12,32000.0,4150.280045630962,36974.81513208834,4974.815132088341,0.15546297287776065,-0.24977193226965308,32000.0,closed
65,0.15,5,0.15,2026-02-02,2026-02-03,,,96,1,2,12000.0,4617.056597324907,12503.686389256856,503.6863892568563,0.04197386577140469,-0.04984234248779085,12000.0,open
70,0.1,1,0.1,2020-01-23,2020-02-03,2020-02-17,2020-02-18,11,0,1,10000.0,3641.0009727,11174.43000127216,1174.4300012721596,0.11744300012721597,0.0,10000.0,closed
70,0.1,2,0.1,2020-02-19,2020-02-20,2020-07-03,2020-07-06,91,3,4,16000.0,3950.7767203230087,18080.366767919975,2080.3667679199752,0.13002292299499846,-0.10642735595764873,16000.0,closed
70,0.1,3,0.1,2020-07-16,2020-07-17,2020-11-09,2020-11-10,76,0,1,10000.0,4526.129431599999,11033.520917970383,1033.5209179703834,0.10335209179703833,-0.004537747298300019,10000.0,closed
70,0.1,4,0.1,2022-03-08,2022-03-09,2024-10-08,2024-10-09,625,7,8,24000.0,3808.310350198891,26264.204102477175,2264.204102477175,0.09434183760321563,-0.18050354206823266,24000.0,closed
70,0.1,5,0.1,2024-10-09,2024-10-10,2025-08-21,2025-08-22,214,2,3,14000.0,3896.396428507426,15400.146308620311,1400.1463086203112,0.10001045061573652,-0.09146350732513626,14000.0,closed
70,0.1,6,0.1,2026-03-23,2026-03-24,2026-05-11,2026-05-12,31,0,1,10000.0,4460.2446721,11128.377162015737,1128.3771620157368,0.11283771620157368,-0.004400806131283025,10000.0,closed
70,0.1,7,0.1,2026-06-08,2026-06-09,,,16,0,1,10000.0,4744.8740353,10139.051691170613,139.05169117061268,0.013905169117061269,-0.004733958190015619,10000.0,open
70,0.125,1,0.125,2020-01-23,2020-02-03,2020-02-20,2020-02-21,14,0,1,10000.0,3641.0009727,11353.016844801019,1353.016844801019,0.1353016844801019,0.0,10000.0,closed
70,0.125,2,0.125,2020-02-21,2020-02-24,2020-07-06,2020-07-07,90,3,4,16000.0,3991.2367141468762,18994.365732127353,2994.365732127353,0.18714785825795957,-0.11548568705862874,16000.0,closed
70,0.125,3,0.125,2020-07-16,2020-07-17,2020-12-30,2020-12-31,113,0,1,10000.0,4526.129431599999,11314.177672974172,1314.1776729741723,0.13141776729741722,-0.004537747298300019,10000.0,closed
70,0.125,4,0.125,2022-03-08,2022-03-09,2025-08-21,2025-08-22,840,7,8,24000.0,3808.310350198891,27010.88764497037,3010.887644970371,0.12545365187376548,-0.18050354206823266,24000.0,closed
70,0.125,5,0.125,2026-03-23,2026-03-24,2026-06-22,2026-06-23,60,0,1,10000.0,4460.2446721,11314.427712379218,1314.427712379218,0.1314427712379218,-0.004400806131283025,10000.0,closed
70,0.125,6,0.125,2026-06-23,2026-06-24,,,6,0,1,10000.0,4901.8541152,9814.35228005294,-185.64771994705916,-0.018564771994705916,-0.006861304806217777,10000.0,open
70,0.15,1,0.15,2020-01-23,2020-02-03,2020-03-05,2020-03-06,24,0,1,10000.0,3641.0009727,11417.065171277316,1417.065171277316,0.1417065171277316,0.0,10000.0,closed
70,0.15,2,0.15,2020-03-09,2020-03-10,2020-07-06,2020-07-07,79,2,3,14000.0,3888.5359482584954,17059.02543287747,3059.0254328774718,0.21850181663410512,-0.09212463328747955,14000.0,closed
70,0.15,3,0.15,2020-07-16,2020-07-17,2020-12-31,2021-01-04,114,0,1,10000.0,4526.129431599999,11513.959552981158,1513.9595529811577,0.15139595529811578,-0.004537747298300019,10000.0,closed
70,0.15,4,0.15,2022-03-08,2022-03-09,2025-08-25,2025-08-26,842,7,8,24000.0,3808.310350198891,28056.64403186568,4056.6440318656787,0.16902683466106994,-0.18050354206823266,24000.0,closed
70,0.15,5,0.15,2026-03-23,2026-03-24,,,67,0,1,10000.0,4460.2446721,10786.072659406205,786.0726594062053,0.07860726594062052,-0.004400806131283025,10000.0,open
75,0.1,1,0.1,2020-02-03,2020-02-04,2020-02-17,2020-02-18,10,0,1,10000.0,3653.0996011999996,11137.42162700275,1137.42162700275,0.113742162700275,0.0,10000.0,closed
75,0.1,2,0.1,2020-02-24,2020-02-25,2020-07-03,2020-07-06,88,3,4,16000.0,3952.7877450132773,18071.168180410372,2071.168180410372,0.12944801127564823,-0.10688197097004967,16000.0,closed
75,0.1,3,0.1,2022-03-09,2022-03-10,2024-10-08,2024-10-09,624,8,9,26000.0,3844.8789255878387,28182.27286577909,2182.2728657790904,0.08393357176073424,-0.18782102289569713,26000.0,closed
75,0.1,4,0.1,2024-10-09,2024-10-10,2025-08-21,2025-08-22,214,2,3,14000.0,3896.396428507426,15400.146308620311,1400.1463086203112,0.10001045061573652,-0.09146350732513626,14000.0,closed
75,0.1,5,0.1,2026-03-23,2026-03-24,2026-05-11,2026-05-12,31,0,1,10000.0,4460.2446721,11128.377162015737,1128.3771620157368,0.11283771620157368,-0.004400806131283025,10000.0,closed
75,0.125,1,0.125,2020-02-03,2020-02-04,2020-02-20,2020-02-21,13,0,1,10000.0,3653.0996011999996,11315.417012287731,1315.4170122877313,0.13154170122877312,0.0,10000.0,closed
75,0.125,2,0.125,2020-02-24,2020-02-25,2020-07-06,2020-07-07,89,3,4,16000.0,3952.7877450132773,19179.124901821753,3179.124901821753,0.19869530636385957,-0.10688197097004967,16000.0,closed
75,0.125,3,0.125,2022-03-09,2022-03-10,2025-08-22,2025-08-25,840,8,9,26000.0,3844.8789255878387,29855.074020269716,3855.074020269716,0.1482720777026814,-0.18782102289569713,26000.0,closed
75,0.125,4,0.125,2026-03-23,2026-03-24,2026-06-22,2026-06-23,60,0,1,10000.0,4460.2446721,11314.427712379218,1314.427712379218,0.1314427712379218,-0.004400806131283025,10000.0,closed
75,0.15,1,0.15,2020-02-03,2020-02-04,2020-03-05,2020-03-06,23,0,1,10000.0,3653.0996011999996,11379.25321837513,1379.25321837513,0.137925321837513,0.0,10000.0,closed
75,0.15,2,0.15,2020-03-09,2020-03-10,2020-07-06,2020-07-07,79,2,3,14000.0,3888.5359482584954,17059.02543287747,3059.0254328774718,0.21850181663410512,-0.09212463328747955,14000.0,closed
75,0.15,3,0.15,2022-03-09,2022-03-10,2025-08-25,2025-08-26,841,8,9,26000.0,3844.8789255878387,30105.614269479956,4105.614269479956,0.15790824113384447,-0.18782102289569713,26000.0,closed
75,0.15,4,0.15,2026-03-23,2026-03-24,,,67,0,1,10000.0,4460.2446721,10786.072659406205,786.0726594062053,0.07860726594062052,-0.004400806131283025,10000.0,open
80,0.1,1,0.1,2020-02-03,2020-02-04,2020-02-17,2020-02-18,10,0,1,10000.0,3653.0996011999996,11137.42162700275,1137.42162700275,0.113742162700275,0.0,10000.0,closed
80,0.1,2,0.1,2020-02-26,2020-02-27,2020-07-03,2020-07-06,86,3,4,16000.0,3963.2649812544864,18023.395473039982,2023.3954730399819,0.12646221706499886,-0.10924300628454137,16000.0,closed
80,0.1,3,0.1,2022-03-09,2022-03-10,2024-10-08,2024-10-09,624,8,9,26000.0,3844.8789255878387,28182.27286577909,2182.2728657790904,0.08393357176073424,-0.18782102289569713,26000.0,closed
80,0.1,4,0.1,2024-10-09,2024-10-10,2025-08-21,2025-08-22,214,2,3,14000.0,3896.396428507426,15400.146308620311,1400.1463086203112,0.10001045061573652,-0.09146350732513626,14000.0,closed
80,0.1,5,0.1,2026-03-23,2026-03-24,2026-05-11,2026-05-12,31,0,1,10000.0,4460.2446721,11128.377162015737,1128.3771620157368,0.11283771620157368,-0.004400806131283025,10000.0,closed
80,0.125,1,0.125,2020-02-03,2020-02-04,2020-02-20,2020-02-21,13,0,1,10000.0,3653.0996011999996,11315.417012287731,1315.4170122877313,0.13154170122877312,0.0,10000.0,closed
80,0.125,2,0.125,2020-02-26,2020-02-27,2020-07-06,2020-07-07,87,3,4,16000.0,3963.2649812544864,19128.4232143377,3128.423214337701,0.19552645089610632,-0.10924300628454137,16000.0,closed
80,0.125,3,0.125,2022-03-09,2022-03-10,2025-08-22,2025-08-25,840,8,9,26000.0,3844.8789255878387,29855.074020269716,3855.074020269716,0.1482720777026814,-0.18782102289569713,26000.0,closed
80,0.125,4,0.125,2026-03-23,2026-03-24,2026-06-22,2026-06-23,60,0,1,10000.0,4460.2446721,11314.427712379218,1314.427712379218,0.1314427712379218,-0.004400806131283025,10000.0,closed
80,0.15,1,0.15,2020-02-03,2020-02-04,2020-03-05,2020-03-06,23,0,1,10000.0,3653.0996011999996,11379.25321837513,1379.25321837513,0.137925321837513,0.0,10000.0,closed
80,0.15,2,0.15,2020-03-09,2020-03-10,2020-07-06,2020-07-07,79,2,3,14000.0,3888.5359482584954,17059.02543287747,3059.0254328774718,0.21850181663410512,-0.09212463328747955,14000.0,closed
80,0.15,3,0.15,2022-03-09,2022-03-10,2025-08-25,2025-08-26,841,8,9,26000.0,3844.8789255878387,30105.614269479956,4105.614269479956,0.15790824113384447,-0.18782102289569713,26000.0,closed
80,0.15,4,0.15,2026-03-23,2026-03-24,,,67,0,1,10000.0,4460.2446721,10786.072659406205,786.0726594062053,0.07860726594062052,-0.004400806131283025,10000.0,open
85,0.1,1,0.1,2020-02-03,2020-02-04,2020-02-17,2020-02-18,10,0,1,10000.0,3653.0996011999996,11137.42162700275,1137.42162700275,0.113742162700275,0.0,10000.0,closed
85,0.1,2,0.1,2020-02-28,2020-03-02,2020-07-02,2020-07-03,83,2,3,14000.0,3884.1711829545397,15685.825808237321,1685.8258082373213,0.12041612915980866,-0.09110442518791556,14000.0,closed
85,0.1,3,0.1,2022-03-14,2022-03-15,2022-06-28,2022-06-29,70,2,3,14000.0,4070.248715899837,15379.773788384013,1379.7737883840127,0.09855527059885805,-0.07280737197576931,14000.0,closed
85,0.1,4,0.1,2022-10-24,2022-10-25,2022-12-06,2022-12-07,31,1,2,12000.0,3605.5880076506346,13164.515712855462,1164.515712855462,0.09704297607128849,-0.03155364843869047,12000.0,closed
85,0.1,5,0.1,2025-04-07,2025-04-08,2025-06-25,2025-06-26,53,0,1,10000.0,3599.0653958,10980.556387254965,980.5563872549646,0.09805563872549647,0.0,10000.0,closed
85,0.125,1,0.125,2020-02-03,2020-02-04,2020-02-20,2020-02-21,13,0,1,10000.0,3653.0996011999996,11315.417012287731,1315.4170122877313,0.13154170122877312,0.0,10000.0,closed
85,0.125,2,0.125,2020-02-28,2020-03-02,2020-07-03,2020-07-06,84,2,3,14000.0,3884.1711829545397,16091.606847990854,2091.6068479908536,0.14940048914220383,-0.09110442518791556,14000.0,closed
85,0.125,3,0.125,2022-03-14,2022-03-15,2024-10-08,2024-10-09,621,7,8,24000.0,3755.855050216664,26631.017168095987,2631.0171680959866,0.10962571533733277,-0.1677827810879619,24000.0,closed
85,0.125,4,0.125,2025-04-07,2025-04-08,2025-07-18,2025-07-21,70,0,1,10000.0,3599.0653958,11304.457190602516,1304.4571906025158,0.13044571906025157,0.0,10000.0,closed
85,0.15,1,0.15,2020-02-03,2020-02-04,2020-03-05,2020-03-06,23,0,1,10000.0,3653.0996011999996,11379.25321837513,1379.25321837513,0.137925321837513,0.0,10000.0,closed
85,0.15,2,0.15,2020-03-16,2020-03-17,2020-07-02,2020-07-03,72,1,2,12000.0,3722.0579924942126,14030.58646773119,2030.5864677311893,0.1692155389775991,-0.051517733705625686,12000.0,closed
85,0.15,3,0.15,2022-03-14,2022-03-15,2025-08-22,2025-08-25,837,7,8,24000.0,3755.855050216664,28211.74120963149,4211.741209631491,0.1754892170679788,-0.1677827810879619,24000.0,closed
90,0.1,1,0.1,2020-02-03,2020-02-04,2020-02-17,2020-02-18,10,0,1,10000.0,3653.0996011999996,11137.42162700275,1137.42162700275,0.113742162700275,0.0,10000.0,closed
90,0.1,2,0.1,2022-03-15,2022-03-16,2022-06-27,2022-06-28,68,1,2,12000.0,4013.9547479603384,13277.423901074484,1277.423901074484,0.10645199175620701,-0.059048676250148674,12000.0,closed
90,0.125,1,0.125,2020-02-03,2020-02-04,2020-02-20,2020-02-21,13,0,1,10000.0,3653.0996011999996,11315.417012287731,1315.4170122877313,0.13154170122877312,0.0,10000.0,closed
90,0.125,2,0.125,2022-03-15,2022-03-16,2024-10-08,2024-10-09,620,6,7,22000.0,3703.703681441162,24755.504628794526,2755.504628794526,0.12525021039975118,-0.1561063335082854,22000.0,closed
90,0.15,1,0.15,2020-02-03,2020-02-04,2020-03-05,2020-03-06,23,0,1,10000.0,3653.0996011999996,11379.25321837513,1379.25321837513,0.137925321837513,0.0,10000.0,closed
90,0.15,2,0.15,2022-03-15,2022-03-16,2025-08-20,2025-08-21,834,6,7,22000.0,3703.703681441162,25441.52914380414,3441.5291438041386,0.15643314290018812,-0.1561063335082854,22000.0,closed
