symbol,name,metric,n,corr,p_value
801010,农林牧渔,corr_rt_excess_fwd5,1567,0.0011762585199742706,0.9628914375115563
801010,农林牧渔,corr_rt_excess_fwd10,1562,-0.01099318384424063,0.6641871342182366
801010,农林牧渔,corr_d5rt_excess_fwd5,1562,0.007958760147479557,0.7532928607142955
801010,农林牧渔,corr_rt_sync_excess1,1572,0.04251823643162072,0.0919493167375865
801030,基础化工,corr_rt_excess_fwd5,1567,0.047975741693771085,0.057602035800321534
801030,基础化工,corr_rt_excess_fwd10,1562,0.07787947777324801,0.0020687620433905403
801030,基础化工,corr_d5rt_excess_fwd5,1562,-0.011916764512222715,0.6379151422402646
801030,基础化工,corr_rt_sync_excess1,1572,-0.05456330814674004,0.03052260301774901
801040,钢铁,corr_rt_excess_fwd5,1567,-0.015525812702953673,0.5391219500900589
801040,钢铁,corr_rt_excess_fwd10,1562,0.011124733981803895,0.6604188385064325
801040,钢铁,corr_d5rt_excess_fwd5,1562,-0.06296844802699558,0.012805748589052831
801040,钢铁,corr_rt_sync_excess1,1572,-0.014671586723337956,0.5610555908822806
801050,有色金属,corr_rt_excess_fwd5,1567,-0.05500176912595766,0.029467511566639286
801050,有色金属,corr_rt_excess_fwd10,1562,-0.04033927926995493,0.11101058823473794
801050,有色金属,corr_d5rt_excess_fwd5,1562,-0.07446292145109407,0.0032330226737753262
801050,有色金属,corr_rt_sync_excess1,1572,-0.10724532748842384,2.0349300883572084e-05
801080,电子,corr_rt_excess_fwd5,1567,0.05557887101022097,0.027803060323659933
801080,电子,corr_rt_excess_fwd10,1562,0.036986356383630875,0.14398529515133726
801080,电子,corr_d5rt_excess_fwd5,1562,0.08340188956846507,0.0009691512636946654
801080,电子,corr_rt_sync_excess1,1572,-0.07104548903144516,0.00482990132443239
801110,家用电器,corr_rt_excess_fwd5,1567,0.007734764804074888,0.7596475721268076
801110,家用电器,corr_rt_excess_fwd10,1562,0.00785102626603224,0.7565261434609762
801110,家用电器,corr_d5rt_excess_fwd5,1562,0.0035959919302483495,0.8870736860638616
