universe,symbol,mapped_etf_code,mapped_etf_name,etf_name_score,etf_disclosed_stock_count,etf_top10_weight_pct,etf_mapping_score,etf_mapping_keywords,etf_mapping_method
SW_L2,801994,513360,教育ETF博时,9.0,10,67.60000000000001,977.6,教育|社会服务,ETF name relevance + disclosed equity holding count
SW_L2,801744,512710,军工龙头ETF富国,13.0,34,60.43,1394.43,航海装备|国防军工|军工|国防|船舶|航天军工|军工龙头,ETF name relevance + disclosed equity holding count
SW_L2,801015,516670,畜牧养殖ETF招商,13.0,18,67.08,1385.08,渔业|农林牧渔|农业|养殖|农牧|畜牧,ETF name relevance + disclosed equity holding count
SW_L2,801017,516670,畜牧养殖ETF招商,14.5,18,67.08,1535.08,养殖业|农林牧渔|畜牧|养殖|农业|农牧,ETF name relevance + disclosed equity holding count
SW_L2,801193,510200,上证券商ETF汇安,16.0,15,61.64,1676.64,证券|非银金融|券商|非银|金融,ETF name relevance + disclosed equity holding count
SW_L2,801951,515220,煤炭ETF国泰,8.5,35,66.5,951.5,煤炭开采|煤炭,ETF name relevance + disclosed equity holding count
SW_L2,801095,516590,智能汽车ETF易方达,15.5,10,57.05,1617.05,乘用车|汽车|智能汽车|新能源汽车,ETF name relevance + disclosed equity holding count
SW_L2,801151,512290,生物医药ETF国泰,14.0,15,67.66999999999999,1482.67,化学制药|医药生物|医药|创新药|生物医药|医疗,ETF name relevance + disclosed equity holding count
SW_L2,801711,159745,建材ETF国泰,8.0,27,60.949999999999996,887.95,水泥|建筑材料|建材,ETF name relevance + disclosed equity holding count
SW_L2,801018,516670,畜牧养殖ETF招商,13.5,18,67.08,1435.08,动物保健|农林牧渔|农业|畜牧|养殖|农牧,ETF name relevance + disclosed equity holding count
SW_L2,801152,512290,生物医药ETF国泰,14.5,15,67.66999999999999,1532.67,生物制品|医药生物|生物医药|医药|创新药|医疗,ETF name relevance + disclosed equity holding count
SW_L2,801741,512710,军工龙头ETF富国,13.0,34,60.43,1394.43,航天装备|国防军工|军工|国防|航天|航天军工|军工龙头,ETF name relevance + disclosed equity holding count
SW_L2,801981,562080,300现金流ETF华宝,1.0,15,56.27,171.27,个护用品|美容护理|美容|护理|化妆品,ETF name relevance + disclosed equity holding count
SW_L1,801950,515220,煤炭ETF国泰,9.0,35,66.5,1001.5,煤炭,ETF name relevance + disclosed equity holding count
SW_L2,801133,517880,品牌消费ETF华泰柏瑞,7.5,10,66.73,826.73,饰品|纺织服饰|珠宝|消费|纺织|服装,ETF name relevance + disclosed equity holding count
SW_L2,801116,159730,家电ETF博时,8.0,10,76.44999999999999,886.45,家电零部件|家用电器|家电,ETF name relevance + disclosed equity holding count
SW_L2,801077,516250,工程机械ETF富国,16.0,15,71.97999999999999,1686.98,工程机械|机械设备|机械|高端装备|机器人|智能制造,ETF name relevance + disclosed equity holding count
SW_L2,801103,159998,计算机ETF天弘,8.5,141,47.35,1038.35,IT服务|计算机|软件|信息技术|人工智能|云计算,ETF name relevance + disclosed equity holding count
SW_L1,801790,510200,上证券商ETF汇安,14.5,15,61.64,1526.64,非银金融|证券|金融|非银|券商,ETF name relevance + disclosed equity holding count
SW_L2,801104,159036,软件开发ETF华宝,16.0,10,8.28,1618.28,软件开发|计算机|软件|人工智能|云计算|信息技术,ETF name relevance + disclosed equity holding count
SW_L2,801128,515710,食品饮料ETF华宝,8.5,15,71.91,936.91,休闲食品|食品饮料,ETF name relevance + disclosed equity holding count
SW_L1,801200,517880,品牌消费ETF华泰柏瑞,8.5,10,66.73,926.73,商贸零售|消费|零售|商贸,ETF name relevance + disclosed equity holding count
SW_L1,801230,159198,富国中证港股通信息技术综合ETF,9.0,10,18.770000000000003,928.77,综合,ETF name relevance + disclosed equity holding count
