universe,symbol,name,parent_name,trade_count_total,trade_count_closed,open_trade_count,win_count_closed,loss_count_closed,win_rate_closed,total_invested_amount,max_single_trade_invested,avg_invested_per_trade,total_profit_closed,total_profit_including_open,avg_profit_closed,median_profit_closed,avg_return_closed,median_return_closed,best_trade_return,worst_trade_return,worst_position_drawdown,avg_holding_days_closed,median_holding_days_closed,max_holding_days,avg_add_count,max_add_count,first_entry_date,last_closed_exit_date,profit_per_10k_invested,ranking_score,mapped_etf_code,mapped_etf_name,etf_name_score,etf_disclosed_stock_count,etf_top10_weight_pct,etf_mapping_score,etf_mapping_keywords,etf_mapping_method
SW_L2,801994,教育,社会服务,4,3,1,3,0,1.0,42000.0,12000.0,10500.0,5784.801121057457,5892.667019813465,1928.2670403524855,1661.7439706297537,0.1835947930873055,0.16418694018548521,0.2481187748572851,0.13847866421914615,-0.05193759254371466,17.666666666666668,17.0,31,0.25,1,2024-10-25,2025-05-07,1403.015957098444,0.33129032258064517,513360,教育ETF博时,9.0,10,67.60000000000001,977.6,教育|社会服务,ETF name relevance + disclosed equity holding count
SW_L2,801744,航海装备Ⅱ,国防军工,2,1,1,1,0,1.0,30000.0,20000.0,15000.0,4838.366760434143,5690.99928533556,4838.366760434143,4838.366760434143,0.24191833802170712,0.24191833802170712,0.24191833802170712,0.24191833802170712,-0.17971607645113818,192.0,192.0,192,2.5,5,2024-10-25,2025-08-07,1896.99976177852,0.9112903225806452,512710,军工龙头ETF富国,13.0,34,60.43,1394.43,航海装备|国防军工|军工|国防|船舶|航天军工|军工龙头,ETF name relevance + disclosed equity holding count
SW_L2,801015,渔业,农林牧渔,3,2,1,2,0,1.0,32000.0,12000.0,10666.666666666666,5296.226642854248,5517.953844266207,2648.113321427124,2648.113321427124,0.24716149707295818,0.24716149707295818,0.3178246434483741,0.17649835069754227,-0.03413712270128422,33.5,33.5,57,0.3333333333333333,1,2024-10-25,2025-07-03,1724.3605763331896,0.664516129032258,516670,畜牧养殖ETF招商,13.0,18,67.08,1385.08,渔业|农林牧渔|农业|养殖|农牧|畜牧,ETF name relevance + disclosed equity holding count
SW_L2,801017,养殖业,农林牧渔,2,2,0,2,0,1.0,28000.0,18000.0,14000.0,4272.838626028337,4272.838626028337,2136.4193130141684,2136.4193130141684,0.14651313705395114,0.14651313705395114,0.16782198561866427,0.12520428848923804,-0.1066618318553958,106.0,106.0,206,2.0,4,2024-10-25,2026-07-07,1526.0137950101202,0.5129032258064516,516670,畜牧养殖ETF招商,14.5,18,67.08,1535.08,养殖业|农林牧渔|畜牧|养殖|农业|农牧,ETF name relevance + disclosed equity holding count
SW_L2,801193,证券Ⅱ,非银金融,3,2,1,2,0,1.0,30000.0,10000.0,10000.0,4071.82505081596,4036.1677799073714,2035.91252540798,2035.91252540798,0.203591252540798,0.203591252540798,0.23327596561879763,0.17390653946279835,-0.005379091497023758,31.0,31.0,52,0.0,0,2024-10-25,2025-06-26,1345.389259969124,0.7541935483870967,510200,上证券商ETF汇安,16.0,15,61.64,1676.64,证券|非银金融|券商|非银|金融,ETF name relevance + disclosed equity holding count
SW_L2,801951,煤炭开采,煤炭,2,1,1,1,0,1.0,30000.0,20000.0,15000.0,3316.1163577328443,4022.4879275158673,3316.1163577328443,3316.1163577328443,0.16580581788664223,0.16580581788664223,0.16580581788664223,0.16580581788664223,-0.13215174534522722,326.0,326.0,326,2.5,5,2024-10-25,2026-03-03,1340.8293091719559,0.9574193548387098,515220,煤炭ETF国泰,8.5,35,66.5,951.5,煤炭开采|煤炭,ETF name relevance + disclosed equity holding count
SW_L2,801095,乘用车,汽车,3,2,1,2,0,1.0,32000.0,12000.0,10666.666666666666,3124.137681511833,3849.8687100313145,1562.0688407559164,1562.0688407559164,0.1410841616761626,0.1410841616761626,0.1512272239942901,0.13094109935803516,-0.03063054313697744,46.5,46.5,70,0.3333333333333333,1,2024-10-25,2025-05-15,1203.0839718847858,0.7016129032258065,516590,智能汽车ETF易方达,15.5,10,57.05,1617.05,乘用车|汽车|智能汽车|新能源汽车,ETF name relevance + disclosed equity holding count
SW_L2,801151,化学制药,医药生物,2,2,0,2,0,1.0,26000.0,16000.0,13000.0,3801.4518348067377,3801.4518348067377,1900.7259174033688,1900.7259174033688,0.14504637365976192,0.14504637365976192,0.15008739360191659,0.14000535371760725,-0.08630727160571205,74.0,74.0,144,1.5,3,2024-10-25,2026-07-03,1462.096859541053,0.5883870967741935,512290,生物医药ETF国泰,14.0,15,67.66999999999999,1482.67,化学制药|医药生物|医药|创新药|生物医药|医疗,ETF name relevance + disclosed equity holding count
SW_L2,801711,水泥,建筑材料,3,2,1,2,0,1.0,32000.0,12000.0,10666.666666666666,3834.3353807647127,3766.5907880936393,1917.1676903823563,1917.1676903823563,0.1710595505400746,0.1710595505400746,0.20657218498161045,0.13554691609853872,-0.04089655373353507,40.0,40.0,70,0.3333333333333333,1,2024-10-25,2025-07-22,1177.0596212792623,0.6851612903225807,159745,建材ETF国泰,8.0,27,60.949999999999996,887.95,水泥|建筑材料|建材,ETF name relevance + disclosed equity holding count
SW_L2,801018,动物保健Ⅱ,农林牧渔,3,2,1,2,0,1.0,32000.0,12000.0,10666.666666666666,3260.131271338827,3748.0490226305665,1630.0656356694135,1630.0656356694135,0.14738196869835293,0.14738196869835293,0.15624594868588412,0.13851798871082174,-0.05639396582585077,30.0,30.0,33,0.3333333333333333,1,2024-10-25,2025-05-21,1171.265319572052,0.6509677419354838,516670,畜牧养殖ETF招商,13.5,18,67.08,1435.08,动物保健|农林牧渔|农业|畜牧|养殖|农牧,ETF name relevance + disclosed equity holding count
SW_L2,801152,生物制品,医药生物,2,2,0,2,0,1.0,28000.0,18000.0,14000.0,3694.513355513336,3694.513355513336,1847.256677756668,1847.256677756668,0.13107488567782777,0.13107488567782777,0.1341269552445976,0.1280228161110579,-0.11901409892267734,101.0,101.0,197,2.0,4,2024-10-25,2026-07-06,1319.4690555404773,0.5445161290322582,512290,生物医药ETF国泰,14.5,15,67.66999999999999,1532.67,生物制品|医药生物|生物医药|医药|创新药|医疗,ETF name relevance + disclosed equity holding count
SW_L2,801741,航天装备Ⅱ,国防军工,3,2,1,2,0,1.0,30000.0,10000.0,10000.0,3656.820621355153,3693.608144718766,1828.4103106775765,1828.4103106775765,0.18284103106775765,0.18284103106775765,0.2230842884897551,0.1425977736457602,-0.024850935526738227,16.0,16.0,21,0.0,0,2024-10-25,2025-05-13,1231.2027149062553,0.7383870967741936,512710,军工龙头ETF富国,13.0,34,60.43,1394.43,航天装备|国防军工|军工|国防|航天|航天军工|军工龙头,ETF name relevance + disclosed equity holding count
SW_L2,801981,个护用品,美容护理,3,2,1,2,0,1.0,30000.0,10000.0,10000.0,3262.7204388873415,3687.6548182987026,1631.3602194436708,1631.3602194436708,0.16313602194436708,0.16313602194436708,0.17004962050936664,0.1562224233793675,0.0,23.5,23.5,35,0.0,0,2024-10-25,2025-04-25,1229.2182727662341,0.8283870967741936,562080,300现金流ETF华宝,1.0,15,56.27,171.27,个护用品|美容护理|美容|护理|化妆品,ETF name relevance + disclosed equity holding count
