universe,symbol,name,parent_name,trade_count_total,trade_count_closed,open_trade_count,win_count_closed,loss_count_closed,win_rate_closed,total_invested_amount,max_single_trade_invested,avg_invested_per_trade,total_profit_closed,total_profit_including_open,avg_profit_closed,median_profit_closed,avg_return_closed,median_return_closed,best_trade_return,worst_trade_return,worst_position_drawdown,avg_holding_days_closed,median_holding_days_closed,max_holding_days,avg_add_count,max_add_count,first_entry_date,last_closed_exit_date,profit_per_10k_invested,ranking_score,mapped_etf_code,mapped_etf_name,etf_name_score,etf_disclosed_stock_count,etf_top10_weight_pct,etf_mapping_score,etf_mapping_keywords,etf_mapping_method
SW_L2,801129,调味发酵品Ⅱ,食品饮料,1,0,1,0,0,,14000.0,14000.0,14000.0,0.0,-709.9535265402537,,,,,,,-0.07653300802310592,,,412,2.0,2,2024-10-25,,-507.10966181446696,2.674193548387097,515710,食品饮料ETF华宝,8.5,15,71.91,936.91,调味发酵品|食品饮料,ETF name relevance + disclosed equity holding count
SW_L1,801170,交通运输,,1,0,1,0,0,,14000.0,14000.0,14000.0,0.0,-808.7208051303533,,,,,,,-0.09389773431389437,,,411,2.0,2,2024-10-25,,-577.6577179502524,2.637741935483871,159666,交通运输ETF华夏,9.0,10,49.730000000000004,959.73,交通运输,ETF name relevance + disclosed equity holding count
SW_L2,801111,白色家电,家用电器,1,0,1,0,0,,16000.0,16000.0,16000.0,0.0,-1030.0375248971795,,,,,,,-0.11399121290444436,,,412,3.0,3,2024-10-25,,-643.7734530607372,2.608064516129032,159730,家电ETF博时,8.0,10,76.44999999999999,886.45,白色家电|家用电器|家电,ETF name relevance + disclosed equity holding count
SW_L2,801125,白酒Ⅱ,食品饮料,1,0,1,0,0,,32000.0,32000.0,32000.0,0.0,-6952.229875669367,,,,,,,-0.24114112085602102,,,412,11.0,11,2024-10-25,,-2172.5718361466775,2.6029032258064513,515710,食品饮料ETF华宝,8.5,15,71.91,936.91,白酒|食品饮料,ETF name relevance + disclosed equity holding count
SW_L2,801179,铁路公路,交通运输,1,0,1,0,0,,22000.0,22000.0,22000.0,0.0,-2233.174892237308,,,,,,,-0.14668997679630724,,,412,6.0,6,2024-10-25,,-1015.0794964715036,2.602258064516129,159666,交通运输ETF华夏,8.5,10,49.730000000000004,909.73,铁路公路|交通运输,ETF name relevance + disclosed equity holding count
SW_L1,801120,食品饮料,,1,0,1,0,0,,26000.0,26000.0,26000.0,0.0,-4512.968225991452,,,,,,,-0.19922469801255183,,,411,8.0,8,2024-10-25,,-1735.757009996712,2.5948387096774197,515710,食品饮料ETF华宝,9.0,15,71.91,986.91,食品饮料,ETF name relevance + disclosed equity holding count
SW_L2,801155,中药Ⅱ,医药生物,1,0,1,0,0,,24000.0,24000.0,24000.0,0.0,-2854.799355829342,,,,,,,-0.18604486042718182,,,412,7.0,7,2024-10-25,,-1189.499731595559,2.592903225806452,512290,生物医药ETF国泰,14.0,15,67.66999999999999,1482.67,中药|医药生物|医药|医疗|生物医药|创新药,ETF name relevance + disclosed equity holding count
SW_L2,801721,房屋建设Ⅱ,建筑装饰,1,0,1,0,0,,26000.0,26000.0,26000.0,0.0,-4683.897193709661,,,,,,,-0.21313971318100933,,,412,8.0,8,2024-10-25,,-1801.4989206575622,2.592258064516129,562080,300现金流ETF华宝,1.0,15,56.27,171.27,房屋建设|建筑装饰,ETF name relevance + disclosed equity holding count
SW_L2,801076,轨交设备Ⅱ,机械设备,1,0,1,0,0,,16000.0,16000.0,16000.0,0.0,-1891.3383786500217,,,,,,,-0.1469974582413417,,,412,3.0,3,2024-10-25,,-1182.0864866562636,2.5870967741935487,516250,工程机械ETF富国,8.0,15,71.97999999999999,886.98,轨交设备|机械设备|机械|高端装备|机器人|智能制造,ETF name relevance + disclosed equity holding count
SW_L2,801033,化学原料,基础化工,2,1,1,1,0,1.0,24000.0,12000.0,12000.0,1687.5753059240706,924.0571462795215,1687.5753059240706,1687.5753059240706,0.14063127549367255,0.14063127549367255,0.14063127549367255,0.14063127549367255,-0.042196271481555025,202.0,202.0,202,1.0,1,2024-10-25,2025-08-21,385.02381094980063,1.971935483870968,562080,300现金流ETF华宝,1.0,15,56.27,171.27,化学原料|基础化工,ETF name relevance + disclosed equity holding count
