interval,n,fwd5_mean,fwd5_median,fwd5_win,fwd5_n,fwd10_mean,fwd10_median,fwd10_win,fwd10_n,fwd20_mean,fwd20_median,fwd20_win,fwd20_n,fwd60_mean,fwd60_median,fwd60_win,fwd60_n
0-20,59,-0.002132052753768672,-0.0054418726734889004,0.4406779661016949,59,0.0007034561824382996,-0.005763168270461482,0.423728813559322,59,0.0009836343452015474,-0.008298195592829027,0.423728813559322,59,-0.03264628810105951,-0.05685699364998538,0.288135593220339,59
20-40,678,-0.0008759391039028118,-0.0018748807650944659,0.45427728613569324,678,0.0005325968922980167,-0.005884533925402734,0.4277286135693215,678,0.00305324948145297,-0.005297116752051145,0.4528023598820059,678,0.006824957088863039,-0.016348411128609807,0.41369047619047616,672
40-50,386,-0.0006732365079248211,0.0006850085516018516,0.5025906735751295,386,-0.0036037395964564206,-0.0021946331319743877,0.4585492227979275,386,-0.004779556167746258,-0.009215366333017182,0.41818181818181815,385,0.0028456095974106295,-0.0013398836901562623,0.4945054945054945,364
50-60,243,-0.00044271866021116014,0.001570868985681973,0.5206611570247934,242,0.001513494347430419,0.006038965003712749,0.5661157024793388,242,0.0029188870121052025,0.00843804390180274,0.5611814345991561,237,0.022753794067594486,0.01515136963094037,0.6299559471365639,227
60-65,87,0.0013921887012792596,0.0013144134834656603,0.5116279069767442,86,0.005279739936405447,0.00548834992355134,0.5783132530120482,83,0.005326061999483849,0.013289330299255098,0.5925925925925926,81,0.027050062665678436,0.025322809221314625,0.6962025316455697,79
65-70,58,0.005444897888683567,0.00931488129468543,0.6,55,0.010928329604718281,0.009748907160238286,0.6481481481481481,54,0.011079765966771205,0.017497329657641992,0.6296296296296297,54,0.03127350595059988,0.034821159629365536,0.6851851851851852,54
70-75,48,0.013679585402784744,0.013418108350391745,0.6666666666666666,48,0.01909496155475028,0.017950234380125264,0.7291666666666666,48,0.031920672847556876,0.032478694031798636,0.782608695652174,46,0.041093911299692566,0.05861129323604579,0.6444444444444445,45
75-80,7,0.015872464812763207,0.025824538553829757,0.8571428571428571,7,0.014138680677265246,0.004506662771559634,0.5,6,0.046991649273116116,0.05076791686781228,0.8333333333333334,6,0.05434693708034047,0.0755263174889345,0.6666666666666666,6
80-90,18,0.02180097234103258,0.017828542950119087,0.7777777777777778,18,0.027862754539755334,0.02799053973637626,0.7777777777777778,18,0.039924608695270064,0.04233615653041793,0.7777777777777778,18,0.08545069963532576,0.10959313982957945,0.8333333333333334,18
90-100,1,0.0675465390435092,0.0675465390435092,1.0,1,0.037135716444450725,0.037135716444450725,1.0,1,0.051550051257438875,0.051550051257438875,1.0,1,0.07330057562957297,0.07330057562957297,1.0,1
